k,H_level,h_level,ell,solver,mode,coarse_nodes,coarse_elements,fine_nodes,fine_elements,H_max,H_min,h_max,h_min,kH,kh,h_over_H,p1_energy_abs,lod_energy_abs,p1_l2_abs,lod_l2_abs,fine_energy_abs,fine_l2_abs,p1_energy_rate,lod_energy_rate,p1_l2_rate,lod_l2_rate,p1_residual,petrov_residual,corrector_residual,constraint_residual,nesting_coordinate_residual,corrector_threads,symbolic_analyses,symbolic_reuses,factorization_reuses,schur_residual,schur_rcond,mesh_ms,operators_ms,correctors_ms,basis_ms,build_ms,load_ms,lod_solve_ms,p1_solve_ms,fine_solve_ms,error_ms,export_ms,total_ms,coarse_nodes_file,coarse_elements_file,fine_nodes_file,fine_elements_file,fields_file
32,8,19,4,schur,two-sided,289,512,525313,1048576,0.088388347648318447,0.088388347648318447,0.001953125,0.001953125,2.8284271247461903,0.0625,0.022097086912079608,22.931832839348772,1.8449555521518897,0.50187389540762339,0.02878867394678801,nan,nan,nan,nan,nan,nan,1.7945896191815445e-15,7.552698190866366e-14,8.9559275266426413e-13,4.3852785159351974e-15,0,64,512,0,0,7.5814562319507925e-16,8.1547006890183733e-05,4856.5862440000001,1396.7830100000001,149003.44910699999,19620.870542000001,174923.91855200002,286.86464599999999,168.69271000000001,7.2837610000000002,0,916.89706699999999,1502.9699840000001,177848.764348,H_L08_coarse_nodes.csv,H_L08_coarse_elements.csv,fine_L19_nodes.csv,fine_L19_elements.csv,
32,9,19,4,schur,two-sided,545,1024,525313,1048576,0.0625,0.0625,0.001953125,0.001953125,2,0.0625,0.03125,20.021827069921681,0.70207081767417057,0.43527782739682308,0.0072966247945997383,nan,nan,0.39155607196577036,2.7877951854722371,0.41077674950479937,3.9604003254172677,3.1007636363183491e-15,3.0392031586361986e-13,2.3885317648126081e-13,1.79714690772338e-15,0,64,1012,12,0,6.2219478298964901e-16,0.00031193465815177292,4574.737779,1409.6234669999999,143528.38413799999,21471.265051999999,171042.13020099999,292.653256,177.695008,8.4867869999999996,0,921.56400900000006,2.1923349999999999,172522.82035699999,H_L09_coarse_nodes.csv,H_L09_coarse_elements.csv,fine_L19_nodes.csv,fine_L19_elements.csv,
32,10,19,4,schur,two-sided,1089,2048,525313,1048576,0.044194173824159223,0.044194173824159223,0.001953125,0.001953125,1.4142135623730951,0.0625,0.044194173824159216,10.135533964473847,0.38787561198904169,0.21298535190129758,0.0025623467409651829,nan,nan,1.9643030725262709,1.7120449881055069,2.0623646406015355,3.0195271059540403,4.6481146006946777e-15,9.6101563413629628e-14,6.1829293242389991e-13,6.856034940636069e-15,0,64,2026,22,0,9.0270206588039389e-16,1.1542584322925665e-05,4453.9612010000001,1379.6986240000001,93139.905043999999,22335.253230999999,121347.862534,290.17799500000001,188.24237500000001,15.047688000000001,0,926.50920299999996,4.2722379999999998,122848.285055,H_L10_coarse_nodes.csv,H_L10_coarse_elements.csv,fine_L19_nodes.csv,fine_L19_elements.csv,
32,11,19,4,schur,two-sided,2113,4096,525313,1048576,0.03125,0.03125,0.001953125,0.001953125,1,0.0625,0.0625,8.0861453723091827,0.25724125750388788,0.1673500979539739,0.0011607160670956376,nan,nan,0.65179609964420793,1.1849440418536763,0.69576963366485156,2.2849012232713175,9.4700177552671387e-15,2.8934908960543866e-13,6.0245696857776792e-14,1.1359896481934078e-15,0,64,4076,20,0,8.8284635192992859e-16,0.00043834055665371429,4273.117894,1385.7274629999999,65816.408163999993,23515.018284999998,95061.002081999992,282.95284099999998,194.876093,17.532371999999999,0,931.83533299999999,7.9543179999999998,96553.287551000001,H_L11_coarse_nodes.csv,H_L11_coarse_elements.csv,fine_L19_nodes.csv,fine_L19_elements.csv,
32,12,19,4,schur,two-sided,4225,8192,525313,1048576,0.022097086912079612,0.022097086912079612,0.001953125,0.001953125,0.70710678118654757,0.0625,0.088388347648318433,3.2716341166254743,0.2170228077169952,0.060927923522113743,0.00083508928442809383,nan,nan,2.6108814542318455,0.49055075679471538,2.9153878349883686,0.95002549389495661,1.8954797479057471e-14,7.6699459102536973e-13,9.0667451958600424e-13,2.8247508046355985e-14,0,64,8154,38,0,6.5819989406916632e-15,1.8152234894258746e-05,4258.2749059999996,1398.0371070000001,55128.573612,26265.338798000001,87105.817800000004,283.39156600000001,214.75860599999999,35.991059999999997,0,918.68455800000004,23.530194999999999,88653.655457999994,H_L12_coarse_nodes.csv,H_L12_coarse_elements.csv,fine_L19_nodes.csv,fine_L19_elements.csv,
32,13,19,4,schur,two-sided,8321,16384,525313,1048576,0.015625,0.015625,0.001953125,0.001953125,0.5,0.0625,0.125,2.6287706329207476,0.20549735459907284,0.046918568737493671,0.00077512098181823914,nan,nan,0.63124628974891805,0.15745369346712473,0.75388913718329953,0.21501789501922688,3.5921826788363291e-14,1.2429587611392268e-12,2.1952637559332837e-14,9.6750517264863786e-16,0,64,16200,184,0,1.0968484313374781e-15,0.00047892829235969314,4830.1304819999996,1388.0573870000001,48979.681017000003,32391.038906000002,87651.269479999988,289.98362500000002,247.452473,68.731308999999996,0,921.78062,30.607984999999999,89283.730905999997,H_L13_coarse_nodes.csv,H_L13_coarse_elements.csv,fine_L19_nodes.csv,fine_L19_elements.csv,
