target,status,first_iteration,reference_energy_error,U_prac,N_H,ell,rebuilt_correctors_cumulative,ambient_refined_elements_cumulative,time_total_cumulative
0.10000000000000001,reached,6,0.095773869950892987,0.035458579165232235,97,2,288,512,3.0427445709999996
0.050000000000000003,reached,9,0.048953494072121462,0.019030290866111917,116,2,486,1120,5.7162197990000001
0.02,reached,12,0.018906576201693778,0.0077747300109557984,133,2,718,1664,9.149594488
0.01,not_reached,,,,,,,,
