schema_version,epoch,iteration,ell,rebuilt,reused,skipped,skipped_work_units,time_corrector,time_theta,time_gram_prepare_structure,time_gram_prepare_factorization,time_gram_action_rhs,time_gram_action_patch_solve,time_gram_action_scatter,gram_action_calls,gram_patch_factorizations,gram_parallel_threads,localization_iterations,localization_relative_residual,localization_used_warm_start
5,0,1,3,48,0,0,0,0.024005768,0.10239848999999999,0.023977285000000001,0.061519237999999997,0.001421393,0.012887839000000002,5.3739000000000002e-05,28,33,8,50,9.6180145044946679e-05,false
5,0,2,4,48,0,0,0,0.036205815000000002,0.041904205,0.023139185,0.001099498,0.0022760129999999999,0.013724228000000002,6.3292999999999992e-05,28,1,8,34,9.9734458524682081e-05,true
5,0,3,4,48,0,0,0,0.043167233000000006,0.039022821999999999,0.022206869000000001,0.00089884299999999997,0.0023183220000000003,0.012506326999999999,6.1816999999999994e-05,28,1,8,34,9.9224367853360291e-05,true
5,0,9,5,74,0,0,0,0.069137091999999997,0.13841922300000001,0.032506938999999999,0.071391634999999995,0.0066483660000000002,0.026038402999999998,0.00036761600000000003,43,52,8,34,8.2102423940402729e-05,true
5,0,10,6,74,0,0,0,0.067135400999999997,0.084814495000000004,0.035425079999999998,0.017386886000000001,0.0045957960000000001,0.025437796000000002,0.00028332999999999999,43,15,8,8,4.3901452472477873e-05,true
5,0,11,7,74,0,0,0,0.043753895000000001,0.101546488,0.035414754,0.029185202,0.0045144080000000001,0.030344510999999998,0.00023232500000000002,43,20,8,4,7.6658349656258574e-05,true
5,0,12,7,74,0,0,0,0.030340584,0.087723778000000002,0.03672454,0.017058024000000001,0.0055249790000000002,0.026039821000000001,0.00020035399999999997,43,15,8,1,3.8957988558907748e-15,true
5,0,18,7,124,0,0,0,0.15463784699999999,0.19287595799999999,0.056814081000000002,0.069406501999999995,0.016688804000000002,0.045815821999999999,0.00088946499999999987,68,77,8,2,1.3473754682748897e-05,true
5,1,26,7,186,0,0,0,1.8066935940000002,1.5465623100000001,0.45155573399999999,0.53165149199999995,0.099012141999999997,0.44512448199999999,0.0022290370000000001,98,109,8,1,5.6634169983749763e-08,true
5,1,32,7,284,0,0,0,2.706414863,1.082490138,0.58135776800000005,0.45184922300000002,0.0046342120000000004,0.024890182,0.00072355900000000003,4,155,8,1,8.7508802492919616e-08,true
