study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
coupled,1,2,6,3,81,0.707106781187,0.176776695297,2.02049732571,0.203511070791,0.832072404066,0.0424513461174,1.76464301156,0.17557911428,nan,nan,nan,6.01884878024e-16,4.89428630128e-16,2.25789159858e-16
coupled,1,3,7,3,145,0.5,0.125,1.51201838159,0.127985701739,0.604912748404,0.0229006617479,1.35211971428,0.114295839615,nan,0.836469527023,1.33824926599,9.41670114396e-16,5.48156471121e-16,2.16473653365e-16
coupled,1,4,8,3,289,0.353553390593,0.0883883476483,0.898399093708,0.0562828997131,0.417641417258,0.0112167717964,0.784049234068,0.0497317157813,nan,1.50209460201,2.37042816206,2.11420821805e-15,7.73913697462e-16,2.3119286634e-16
coupled,2,2,6,3,289,0.707106781187,0.176776695297,1.98235636385,0.206999651619,0.141039388378,0.00274883522381,1.9749857695,0.206277588343,nan,nan,nan,1.2899462496e-15,1.44098083358e-15,3.33701268364e-16
coupled,2,3,7,3,545,0.5,0.125,1.44244058097,0.12608474744,0.0751884699937,0.00104653177529,1.43992938026,0.125887284966,nan,0.917408890739,1.43046915454,1.77171499973e-15,1.77585667399e-15,2.62508574321e-16
coupled,2,4,8,3,1089,0.353553390593,0.0883883476483,0.840858967549,0.0552064350557,0.0368206950662,0.000365059560459,0.839964416676,0.0551633018146,nan,1.55715227933,2.38297082976,5.62112726762e-15,1.64345653018e-15,7.23121042016e-16
coupled,3,2,6,3,625,0.707106781187,0.176776695297,1.98268557627,0.207178939127,0.0171995598824,0.000231373269271,1.98257995412,0.207169577022,nan,nan,nan,5.59190808195e-15,3.03216770817e-15,5.39338673278e-16
coupled,3,3,7,3,1201,0.5,0.125,1.44224500846,0.12613367816,0.00603308483748,5.59103292791e-05,1.44222925525,0.126132562443,nan,0.918279271887,1.43184764121,4.979878227e-15,4.0028425733e-15,3.57733295729e-16
coupled,3,4,8,3,2401,0.353553390593,0.0883883476483,0.841610487165,0.0552952278131,0.00219471127598,1.43973879479e-05,0.841607304883,0.055295073861,nan,1.55418336655,2.37945330222,6.50550816007e-15,5.55793639232e-15,5.94682153521e-16
