node_id,x,y,p1_real,p1_imag,lod_coefficient_real,lod_coefficient_imag
0,0,0,0.0001608574423905744,-0.0011602332317933886,-0.00040245070054589804,-0.00019054107856433491
1,1,0,0.0037434311191779897,0.0095805733853332013,-0.00012510072156627841,-0.00041656616228355074
2,1,1,0.0037434311191777087,0.0095805733853326757,-0.00012510072156782649,-0.00041656616228119954
3,0,1,0.00016085744239060902,-0.0011602332317939344,-0.00040245070054002508,-0.00019054107857253914
4,0.5,0.5,-0.66409330770671759,-0.73187954616756823,-0.6765444019664193,-0.78327858988431853
5,0.5,0,0.0034703757467389467,-0.0077053244089613539,0.0061424892184592248,0.0070987716749913955
6,0,0.5,-0.0062938397741599946,-0.0024792576712134597,-0.0086401786631977069,-0.0064476616720577813
7,1,0.5,0.032709865394337713,-0.02126236245648893,-0.0050855286197464969,-0.0095000911609015408
8,0.5,1,0.0034703757467383443,-0.0077053244089623808,0.0061424892184525001,0.0070987716749893806
9,0.25,0.25,-0.12606972729136307,0.2910264766878492,-0.1267413672996712,0.30003683930679131
10,0.75,0.25,0.29307313727111239,-0.10846785427119274,0.31527179509203884,-0.081764600883803065
11,0.75,0.75,0.29307313727111262,-0.10846785427119174,0.31527179509204201,-0.081764600883808186
12,0.25,0.75,-0.1260697272913634,0.29102647668785092,-0.12674136729969032,0.30003683930680647
13,0.25,0,-0.0026741600664153833,0.0013774765459337668,0.0028723554848466685,-0.0045700801143247647
14,0,0.25,-0.0038620206499392108,-0.0015994722657279913,-0.004931570949277625,-0.0036602333416806718
15,0.75,0,0.011960834061253207,0.002100027926823159,-0.0049287704994711804,0.0021832617269017087
16,1,0.25,0.024470756385716004,-0.0078837699518006094,-0.0028771461421846557,-0.0054144583247027842
17,1,0.75,0.02447075638571531,-0.0078837699518007551,-0.0028771461421823845,-0.0054144583247017911
18,0.75,1,0.011960834061253181,0.0021000279268234734,-0.0049287704994684465,0.0021832617269056161
19,0,0.75,-0.0038620206499396883,-0.001599472265728168,-0.0049315709492865631,-0.0036602333416901191
20,0.25,1,-0.0026741600664165993,0.0013774765459336051,0.0028723554848375035,-0.0045700801143349901
21,0.5,0.25,-0.37546763685024498,-0.41775400098827692,-0.37940388768820232,-0.43926424741222392
22,0.25,0.5,-0.22083141982486165,0.51435499386665229,-0.22626166699682887,0.53492854332869755
23,0.75,0.5,0.50780406656423793,-0.18275303683141733,0.56212297368988817,-0.14606358086669158
24,0.5,0.75,-0.37546763685024492,-0.41775400098827625,-0.37940388768820033,-0.43926424741221343
25,0.125,0.125,0.020330338875456589,0.030553559205671276,0.022037035709151009,0.028636079035575548
26,0.875,0.125,0.038891331264567855,0.016206757505418889,0.025137467477480271,0.025961137667197542
27,0.875,0.875,0.03889133126456723,0.016206757505419452,0.025137467477484118,0.025961137667199204
28,0.125,0.875,0.020330338875455996,0.030553559205671477,0.022037035709138411,0.028636079035569639
29,0.375,0.375,-0.75588716337337525,0.12470584889877351,-0.78956943091400056,0.12199084283929111
30,0.625,0.375,0.18969027838999455,-0.73796233319284699,0.23552926357102275,-0.76342655092640788
31,0.625,0.625,0.18969027838999511,-0.73796233319284654,0.23552926357102641,-0.76342655092641731
32,0.375,0.625,-0.7558871633733748,0.12470584889877435,-0.78956943091399556,0.12199084283930742
33,0.375,0.125,-0.1701219375200223,0.026242000450149607,-0.16769038782325246,0.026177277610324009
34,0.625,0.125,0.047771206031037378,-0.1710390934531637,0.050295197969979527,-0.16210359900844434
35,0.125,0.375,0.092980708427548867,0.13746374401348349,0.10258021299366002,0.13620155469388709
36,0.125,0.625,0.092980708427548908,0.13746374401348388,0.10258021299364994,0.13620155469389289
37,0.875,0.375,0.12812522773544732,0.075522814662164706,0.11983401888339201,0.12126794912709508
