study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
coupled,2,4,10,2,4225,0.353553390593,0.0441941738242,0.84160282098,0.055271807569,0.00932718326088,4.66433616376e-05,0.8415453806,0.0552690447533,nan,nan,nan,9.04909116529e-15,6.12851827166e-15,8.39005404673e-16
coupled,2,5,11,2,8321,0.25,0.03125,0.508634648562,0.0230096542627,0.00486556121634,1.72434693901e-05,0.508610330438,0.0230089480635,nan,1.45301959523,2.52860897605,1.79267926957e-14,6.25238284043e-15,8.89924472916e-16
coupled,2,6,12,2,16641,0.176776695297,0.0220970869121,0.278953318556,0.00831655612139,0.00234096335365,5.87304978458e-06,0.278943367131,0.00831641894102,nan,1.73321205673,2.93636233552,2.50258423612e-14,8.48675002145e-15,7.40435975401e-16
