study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual,corrector_threads,solver,schur_residual,schur_rcond,direct_fallbacks
H,3,4,12,3,37249,0.353553390593,0.0220970869121,0.841622066222,0.0552957322779,3.44504290219e-05,5.58145527578e-08,0.841622065447,0.0552957322446,nan,nan,nan,2.51666348693e-14,6.40040414488e-14,4.2276938564e-16,8,schur,4.07845956131e-16,0.0663603617603,0
H,3,6,12,3,37249,0.176776695297,0.0220970869121,0.2781766515,0.00829193022319,3.44504290219e-05,5.58145527578e-08,0.278176649341,0.00829193019518,nan,1.597171197,2.73738825632,4.82902215039e-14,9.51228093068e-14,7.45693925151e-16,8,schur,8.42187753897e-16,0.000649090615066,0
H,3,8,12,3,37249,0.0883883476483,0.0220970869121,0.0776015232265,0.00101601358499,3.44504290219e-05,5.58145527578e-08,0.0776015155596,0.00101601353576,nan,1.84184445748,3.02878828385,1.18296283101e-13,3.22910322833e-14,5.71283664823e-16,8,schur,6.1284823093e-16,0.000723062770423,0
