study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual,corrector_threads,solver,schur_residual,schur_rcond,direct_fallbacks
H,3,4,10,3,9409,0.353553390593,0.0441941738242,0.841621396173,0.0552957083445,0.000275371208884,8.94786331249e-07,0.841621346497,0.0552957061493,nan,nan,nan,1.18276537278e-14,2.85149395505e-14,4.48585760793e-16,8,schur,4.34763538318e-16,0.0663603531642,0
H,3,6,10,3,9409,0.176776695297,0.0441941738242,0.278172458343,0.00829185181358,0.000275371208884,8.94786331249e-07,0.27817231985,0.00829184946935,nan,1.59719179536,2.73740127427,3.08059296418e-14,4.31852487278e-14,9.89759279791e-16,8,schur,9.86106165399e-16,0.000648858371351,0
H,3,8,10,3,9409,0.0883883476483,0.0441941738242,0.0775910279214,0.00101587110982,0.000275371208884,8.94786331249e-07,0.0775905364033,0.00101586383993,nan,1.84201784264,3.02897696419,3.69655057296e-14,1.21714539521e-14,4.7716250242e-16,8,schur,6.92874334138e-16,0.000717481891408,0
