study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
H,2,4,12,2,16641,0.353553390593,0.0220970869121,0.841662616213,0.0552776549063,0.00234096335365,5.87304978458e-06,0.841658997344,0.0552774813491,nan,nan,nan,2.15171194724e-14,2.38026480418e-14,6.23847290644e-15
H,2,5,12,2,16641,0.25,0.0220970869121,0.508663162748,0.0230115004458,0.00234096335365,5.87304978458e-06,0.508657512245,0.0230113173024,nan,1.45306284154,2.52868271182,2.23093095507e-14,1.36031480514e-14,7.64226284457e-16
H,2,6,12,2,16641,0.176776695297,0.0220970869121,0.278953318556,0.00831655612139,0.00234096335365,5.87304978458e-06,0.278943367131,0.00831641894102,nan,1.73337380789,2.93659383595,2.50258423612e-14,8.48675002145e-15,7.40435975401e-16
