schema_version,manuscript_sha256,code_commit,case,method,kappa,run_id,repeat_index,epoch,iteration,state,action,stop_reason,N_H,N_h,N_c,ell,kappa_H_max,eta_H,Theta_loc,U_practical,eta_eq_c,eta_dual_c,L_gap_c,dual_check_performed,minimum_reference_level_gap,level_gap_dual_trigger,relative_reference_energy,relative_exact_energy,relative_exact_L2,marked_H,marked_c,rebuilt_correctors,skipped_correctors,skipped_corrector_work_units,time_corrector,time_theta,time_gram_prepare_structure,time_gram_prepare_factorization,time_gram_action_rhs,time_gram_action_patch_solve,time_gram_action_scatter,gram_action_calls,gram_patch_factorizations,gram_factor_cache_hits,gram_factor_cache_misses,gram_parallel_threads,localization_iterations,localization_relative_residual,localization_used_warm_start,time_lod_solve,time_reference_riesz,time_candidate_flux,time_candidate_close,time_candidate_operator_assembly,time_candidate_prolongation,time_candidate_flux_reconstruction,time_candidate_flux_prepare,time_candidate_flux_patch_solve,time_candidate_flux_merge,time_candidate_flux_audit,candidate_flux_parallel_threads,time_candidate_enrich,time_candidate_nvb_refine,time_candidate_embedding_composition,time_candidate_parent_map_update,time_candidate_quasi_interpolation,time_candidate_embedding_validation,time_candidate_dual,time_candidate_dual_operator_assembly,time_candidate_dual_load_assembly,time_candidate_dual_prolongation,time_candidate_dual_solve,time_candidate_dual_prepare,time_candidate_dual_patch_solve,time_candidate_dual_reduction,candidate_dual_patch_factorizations,candidate_dual_parallel_threads,time_mesh,time_total_cumulative,peak_memory_mb
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,10,ProposeCoarse,SolveAndEstimate,,750,12532,12532,2,4,1.6609714585058251,NA,2.7170609532885646,NA,NA,NA,false,NA,false,0.081520271045123133,0.084448108776402742,0.035204274134929998,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0.0032026450000000001,1.1727113979999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.001033595999999,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,11,CandidateEnrich,ProposeCoarseRefinement,,750,12532,12532,2,4,NA,NA,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0951168360000001,15.096247372000001,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,12,LazyDualDecision,EnrichCandidate,,750,12532,13177,2,4,NA,NA,NA,1.3590236994081242,NA,NA,false,NA,false,NA,NA,NA,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,3.8247456980000001,7.2900000000000003e-07,0.02618879,0.000118826,3.6799955519999998,1.8407335499999999,1.15029487,0.0061014260000000001,0.65944908499999999,8,0.11842881600000001,0.074898320000000004,0.0074086450000000002,8.4313000000000004e-05,0.01371874,0.019729904999999999,0,0,0,0,0,0,0,0,0,1,0,18.921533485000001,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,13,CommitCoarse,SkipCandidateDual,,750,12532,13177,2,4,NA,NA,NA,NA,NA,NA,false,1,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.922469096,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,14,CorrectorCheck,CommitCoarseRefinement,,887,12532,13177,2,4,NA,NA,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.073924503000000003,18.996459287,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,15,SolveEstimate,AcceptCorrector,,887,12532,13177,2,4,NA,0.13974251949830913,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,1734,54,2134,0.60662268200000002,4.4987685480000001,1.5597493920000001,1.9662767050000001,0.085219524000000005,0.83827178899999999,0.011332332000000001,60,902,32,902,8,6,4.043892193214639e-05,true,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.302903956000002,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,16,ProposeCoarse,SolveAndEstimate,,887,12532,13177,2,4,1.3016518180572265,NA,2.1292764011742094,NA,NA,NA,false,NA,false,0.063142683689271131,0.066908922493944464,0.028154558504416054,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0.012183322999999999,1.220601112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.996780822000002,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,17,CandidateEnrich,ProposeCoarseRefinement,,887,12532,13177,2,4,NA,NA,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4919446620000001,28.488924384000001,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,18,LazyDualDecision,EnrichCandidate,,887,12532,14375,2,4,NA,NA,NA,1.1865112802399083,NA,NA,false,NA,false,NA,NA,NA,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,3.9381495819999999,6.9999999999999997e-07,0.031372299999999999,0.000176279,3.7607871350000002,1.82666404,1.198078376,0.0073411860000000004,0.69827748300000003,8,0.14568392699999999,0.096017163000000003,0.009873583,9.7235e-05,0.013965429,0.023070011000000001,0,0,0,0,0,0,0,0,0,1,0,32.427842013000003,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,19,CommitCoarse,SkipCandidateDual,,887,12532,14375,2,4,NA,NA,NA,NA,NA,NA,false,1,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32.429014961999997,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,20,CorrectorCheck,CommitCoarseRefinement,,1132,12532,14375,2,4,NA,NA,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10074185300000001,32.529847445000001,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,21,SolveEstimate,AcceptCorrector,,1132,12532,14375,2,4,NA,0.13936598824636168,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,2224,54,2134,0.63139807599999997,4.769221216,1.966987335,1.7899524410000001,0.090146237000000004,0.86703747100000006,0.013715411,60,1179,0,1179,8,6,1.9800318363968445e-05,true,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38.155374053000003,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,22,ProposeCoarse,SolveAndEstimate,,1132,12532,14375,2,4,0.95046143452525977,NA,1.5547899020964195,NA,NA,NA,false,NA,false,0.048889638836010017,0.053518812437024318,0.024088979331908043,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0.0032337609999999999,1.5679143879999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41.188007749999997,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,23,CandidateEnrich,ProposeCoarseRefinement,,1132,12532,14375,2,4,NA,NA,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1926554349999998,43.380756523999999,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,24,LazyDualDecision,EnrichCandidate,,1132,12532,16069,2,4,NA,NA,NA,0.92303664671013241,NA,NA,false,NA,false,NA,NA,NA,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,4.0829663280000004,7.2200000000000003e-07,0.033445111,0.00024717899999999999,3.884086339,1.8695812590000001,1.2423246320000001,0.0071628719999999998,0.73335331199999998,8,0.16490215499999999,0.10817597,0.010974618,0.000115399,0.015746106999999999,0.02655099,0,0,0,0,0,0,0,0,0,1,0,47.464963523000002,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,25,ReferenceRefresh,SkipCandidateDual,,1132,12532,16069,2,4,NA,NA,NA,NA,NA,NA,false,1,true,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.466503007,3758.83984375
5,sha256:94b0c1469312ce006f3b76d08b30f920115d274f442e3912ca660ccf919bd3f9,WORKTREE@9aeac45440f701f35131108dbec272796c6a5498,S,PALOD-hybrid-reference-epoch,16,S_PALOD-hybrid-reference-epoch_k16_r0_9c88e85e67c7bbdf,0,1,26,WorkLimitReached,StopWorkLimit,maximum_epochs reached before reference refresh,1132,12532,16069,2,4,NA,NA,NA,NA,NA,NA,false,NA,false,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.466550673999997,3758.83984375
