schema_version,epoch,iteration,action,N_H,N_h,N_c,L_gap_c
5,0,0,BeginEpoch,28,800,800,NA
5,0,6,RefreshReference,317,12532,12532,NA
5,1,8,BeginEpoch,385,12532,12532,NA
