target,status,first_iteration,reference_energy_error,U_prac,N_H,ell,rebuilt_correctors_cumulative,ambient_refined_elements_cumulative,time_total_cumulative
0.10000000000000001,reached,6,0.095773869950892987,0.035458579165232235,97,2,288,512,3.1270772330000001
0.050000000000000003,reached,9,0.048953494072121462,0.019030290866111917,116,2,486,1120,5.8568922860000008
0.02,reached,12,0.018906576201693778,0.0077747300109557984,133,2,718,1664,9.4547336120000001
0.01,reached,15,0.0065089109616181615,0.0024980762825379753,153,2,990,2304,14.293638952
