iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
2,AcceptLocalization,2,0.08872683734165808,384,0.20125172299999999,8.0294512170000001
5,AcceptLocalization,2,0.10690223086820624,438,0.211045597,10.494196103
8,AcceptLocalization,2,0.11650694167392968,510,0.22077216699999999,14.517580883999999
11,AcceptLocalization,2,0.13862674289578031,632,0.23457443,23.109101370000001
14,AcceptLocalization,2,0.14165952876410107,787,0.25179360899999997,36.821151843000003
17,AcceptLocalization,2,0.14376761251769626,984,0.26526307999999998,59.616597446
