element_id,n0,n1,n2,cx,cy,area,diameter
0,21,9,5,0.41666666666666669,0.16666666666666666,0.03125,0.35355339059327379
1,24,11,8,0.58333333333333337,0.83333333333333337,0.03125,0.35355339059327379
2,22,12,6,0.16666666666666666,0.58333333333333337,0.03125,0.35355339059327379
3,23,10,7,0.83333333333333337,0.41666666666666669,0.03125,0.35355339059327379
4,15,10,5,0.66666666666666663,0.083333333333333329,0.03125,0.35355339059327379
5,20,12,8,0.33333333333333331,0.91666666666666663,0.03125,0.35355339059327379
6,14,9,6,0.083333333333333329,0.33333333333333331,0.03125,0.35355339059327379
7,17,11,7,0.91666666666666663,0.66666666666666663,0.03125,0.35355339059327379
8,13,9,0,0.16666666666666666,0.083333333333333329,0.03125,0.35355339059327379
9,18,11,2,0.83333333333333337,0.91666666666666663,0.03125,0.35355339059327379
10,19,12,3,0.083333333333333329,0.83333333333333337,0.03125,0.35355339059327379
11,16,10,1,0.91666666666666663,0.16666666666666666,0.03125,0.35355339059327379
12,21,10,4,0.58333333333333337,0.33333333333333331,0.03125,0.35355339059327379
13,24,12,4,0.41666666666666669,0.66666666666666663,0.03125,0.35355339059327379
14,22,9,4,0.33333333333333331,0.41666666666666669,0.03125,0.35355339059327379
15,23,11,4,0.66666666666666663,0.58333333333333337,0.03125,0.35355339059327379
16,21,4,9,0.41666666666666669,0.33333333333333331,0.03125,0.35355339059327379
17,24,4,11,0.58333333333333337,0.66666666666666663,0.03125,0.35355339059327379
18,22,4,12,0.33333333333333331,0.58333333333333337,0.03125,0.35355339059327379
19,23,4,10,0.66666666666666663,0.41666666666666669,0.03125,0.35355339059327379
20,15,1,10,0.83333333333333337,0.083333333333333329,0.03125,0.35355339059327379
21,20,3,12,0.16666666666666666,0.91666666666666663,0.03125,0.35355339059327379
22,14,0,9,0.083333333333333329,0.16666666666666666,0.03125,0.35355339059327379
23,17,2,11,0.91666666666666663,0.83333333333333337,0.03125,0.35355339059327379
24,13,5,9,0.33333333333333331,0.083333333333333329,0.03125,0.35355339059327379
25,18,8,11,0.66666666666666663,0.91666666666666663,0.03125,0.35355339059327379
26,19,6,12,0.083333333333333329,0.66666666666666663,0.03125,0.35355339059327379
27,16,7,10,0.91666666666666663,0.33333333333333331,0.03125,0.35355339059327379
28,21,5,10,0.58333333333333337,0.16666666666666666,0.03125,0.35355339059327379
29,24,8,12,0.41666666666666669,0.83333333333333337,0.03125,0.35355339059327379
30,22,6,9,0.16666666666666666,0.41666666666666669,0.03125,0.35355339059327379
31,23,7,11,0.83333333333333337,0.58333333333333337,0.03125,0.35355339059327379
