node_id,x,y,p1_real,p1_imag,lod_coefficient_real,lod_coefficient_imag
0,0,0,-0.0025659524396525165,-0.0038789834123416135,-0.0034951671967763981,-0.0044435079288706247
1,1,0,0.019395223155454205,0.039562481693841432,-0.0024939285289804027,-0.0016878176172704161
2,1,1,0.019395223155453719,0.039562481693841092,-0.0024939285289812064,-0.0016878176172706288
3,0,1,-0.0025659524396526292,-0.0038789834123417934,-0.0034951671967762637,-0.0044435079288706993
4,0.5,0.5,-0.68843503164847764,-0.66830706169045129,-0.72492989444938438,-0.83411321246424375
5,0.5,0,0.003702379893823585,-0.026374173035526045,0.011789428992323015,0.014323105490688002
6,0,0.5,-0.014881317227183105,-0.017916157292599013,-0.008574375939099774,-0.035944125191334518
7,1,0.5,0.094464824372960984,-0.085993197536826965,-0.029469952164039019,-0.015042967294929443
8,0.5,1,0.0037023798938234905,-0.026374173035527079,0.011789428992323436,0.01432310549068691
9,0.25,0.25,-0.10926077606806282,0.29946260599484636,-0.1192512831462014,0.32537399131709183
10,0.75,0.25,0.25842461265889005,-0.15753875285880659,0.33763606776691901,-0.074944482380082361
11,0.75,0.75,0.25842461265889055,-0.15753875285880575,0.33763606776692034,-0.074944482380081015
12,0.25,0.75,-0.10926077606806277,0.29946260599484731,-0.11925128314620206,0.32537399131709277
13,0.25,0,-0.0053275771247337424,0.0066526227173004018,0.012628017356906876,-0.0069273206402530232
14,0,0.25,-0.010024512109791626,-0.010396266211868994,-0.0056009545980590311,-0.021236238822700457
15,0.75,0,0.044898870627062007,-0.0067125517371030884,-0.0069071962111651088,0.0095994135900171959
16,1,0.25,0.07796057842433847,-0.036960187871360885,-0.016114449162883161,-0.0086851305560970999
17,1,0.75,0.077960578424337831,-0.036960187871360899,-0.01611444916288389,-0.0086851305560962395
18,0.75,1,0.044898870627062361,-0.0067125517371024786,-0.0069071962111641244,0.0095994135900184831
19,0,0.75,-0.010024512109791843,-0.010396266211868893,-0.005600954598059333,-0.02123623882270044
20,0.25,1,-0.0053275771247343817,0.0066526227173005414,0.01262801735690668,-0.0069273206402531949
21,0.5,0.25,-0.39608123678089807,-0.39681891447587048,-0.40460956071618936,-0.46559167862565926
22,0.25,0.5,-0.18458308307158566,0.52169126279017064,-0.21696768754627077,0.58237133794070672
23,0.75,0.5,0.41952903120927565,-0.2380288437306623,0.60361715316776532,-0.13547414656248857
24,0.5,0.75,-0.39608123678089846,-0.3968189144758707,-0.40460956071619075,-0.46559167862565959
25,0.125,0.125,0.021656160882245527,0.031689513206571075,0.027840698219003108,0.023888750199944159
26,0.875,0.125,0.065331077837443657,-0.011293819493147195,0.022186712658902714,0.029466150249767568
27,0.875,0.875,0.065331077837443255,-0.011293819493146492,0.022186712658902957,0.029466150249768862
28,0.125,0.875,0.021656160882245507,0.031689513206571318,0.027840698219002976,0.023888750199944405
29,0.375,0.375,-0.73211417212771601,0.16459543277527566,-0.84014575165722893,0.14722902124939871
30,0.625,0.375,0.1154886817068444,-0.72572435604369423,0.26171550909539371,-0.81112699778086061
31,0.625,0.625,0.11548868170684452,-0.72572435604369412,0.26171550909539337,-0.81112699778086095
32,0.375,0.625,-0.73211417212771612,0.16459543277527594,-0.84014575165722882,0.14722902124939868
33,0.375,0.125,-0.17645749092150403,0.031946738290531934,-0.17060567969494567,0.033382442589520056
34,0.625,0.125,0.041843232442256663,-0.19511778305018845,0.056115123346015261,-0.16557543543860476
35,0.125,0.375,0.097120518843706427,0.13297821171166629,0.12268434709004652,0.13466495270232004
36,0.125,0.625,0.097120518843706635,0.13297821171166654,0.12268434709004607,0.13466495270232001
37,0.875,0.375,0.12375226031567431,-0.013535809915197049,0.11691541432678938,0.1361316858164347
38,0.875,0.625,0.12375226031567402,-0.013535809915196536,0.11691541432678948,0.13613168581643567
39,0.625,0.875,0.041843232442257267,-0.19511778305018881,0.056115123346016177,-0.1655754354386054
40,0.375,0.875,-0.17645749092150506,0.03194673829053217,-0.17060567969494608,0.033382442589519674
41,0.125,0,0.0043633055197842075,0.0053712455966658385,-0.0012132900921583744,-0.0035486712521011965
42,0,0.125,-0.0025755089343393617,0.0019625018751915344,-0.0021069106845389802,-0.0035135087527511009
43,0.875,0,0.034681919740075,0.015445271458247145,-0.00071182354206000668,-0.0012592240277362963
44,1,0.125,0.055151812404251446,0.0093720994307966068,-0.00039422909086519477,-0.0014318313388839393
45,1,0.875,0.055151812404250898,0.0093720994307965443,-0.00039422909086605194,-0.0014318313388836377
46,0.875,1,0.034681919740074577,0.015445271458247504,-0.00071182354206051777,-0.0012592240277354322
47,0,0.875,-0.0025755089343395291,0.0019625018751915232,-0.0021069106845389568,-0.0035135087527511091
48,0.125,1,0.0043633055197840115,0.0053712455966658428,-0.0012132900921582783,-0.0035486712521010234
49,0.5,0.375,-0.54403470706547286,-0.52844673416986554,-0.60884463753346829,-0.70057120902267411
50,0.375,0.5,-0.74316905069921357,0.13818289285166563,-0.91682209441351559,0.14983923862802512
51,0.625,0.5,0.079793667783480085,-0.73642022438330934,0.27484043291121063,-0.88644365875114961
52,0.5,0.625,-0.54403470706547297,-0.52844673416986543,-0.6088446375334704,-0.70057120902267611
53,0.375,0,-0.039804550530560943,-0.0066501778027308403,0.01422214732228644,-0.00099671148403081581
54,0.625,0,0.044623185430359369,-0.045078042026812426,-0.0035802688165785996,0.012346495120190952
55,0.5,0.125,-0.1404295352604043,-0.15556057140011231,-0.12645970232972284,-0.14524091838790412
56,0,0.375,-0.0045463100863977262,0.021973674216370597,-0.0079231119835316711,-0.014826919692842083
