node_id,x,y,lod_real,lod_imag,lod_abs,coarse_scale_real,coarse_scale_imag,correction_real,correction_imag,p1_real,p1_imag,exact_real,exact_imag,lod_point_error_abs,p1_point_error_abs,fine_reference_real,fine_reference_imag
0,0,0,-0.00016285643643579171,0.00071597398388050372,0.00073426219055749075,-0.00061528654384772731,-0.00043273993396292969,0.0004524301074119356,0.0011487139178434334,-0.0010485642096991188,-0.001850199235343521,0,0,0.00073426219055749075,0.002126669723376831,-1.7979086710755609e-05,-8.5216968303493545e-05
1,1,0,0.0015222246493573775,0.002464589167739146,0.0028967857443808866,0.00075402879069363981,0.0015941515497220756,0.00076819585866373771,0.00087043761801707041,0.01747867999137729,0.031289533327964164,-0,0,0.0028967857443808866,0.035840468051111622,0.00085369958617445411,0.0020810006751522917
2,1,1,0.0015222246493567723,0.0024645891677389856,0.0028967857443804321,0.00075402879069299883,0.0015941515497219184,0.00076819585866377349,0.00087043761801706716,0.017478679991376977,0.031289533327963789,-0,0,0.0028967857443804321,0.035840468051111143,0.0008536995861746098,0.0020810006751518268
3,0,1,-0.00016285643643589707,0.00071597398388110068,0.00073426219055809617,-0.00061528654384783443,-0.0004327399339622841,0.00045243010741193739,0.0011487139178433848,-0.0010485642096990202,-0.0018501992353436502,0,0,0.00073426219055809617,0.0021266697233768951,-1.7979086710416633e-05,-8.5216968304050147e-05
4,0.5,0.5,-0.65702498261807429,-0.75589277605335703,1.0015266929412971,-0.69325904313675613,-0.79763889006430211,0.036234060518681832,0.041746114010945079,-0.66663745331841473,-0.70300451164906153,-0.65364362086361194,-0.7568024953079282,0.003501599125639349,0.05534494310795858,-0.65460059410948668,-0.75309470024549063
5,0.5,0,0.00081262719207952753,0.0020706393611454495,0.0022243898752763403,0.0099474932806293184,0.012192327543576173,-0.0091348660885497909,-0.010121688182430724,-0.00090148418636649616,0.0066487814476290426,-0,-0,0.0022243898752763403,0.0067096176103117093,-0.00016336697079664749,0.00046940541148433331
6,0,0.5,-0.0043221018081036015,-0.00072307296625764373,0.0043821682480417214,-0.008987206959416922,-0.016800472360029531,0.0046651051513133205,0.016077399393771886,-0.0057859891839422625,0.0016750782872935949,0,0,0.0043821682480417214,0.0060235834936737858,-0.00028941542430524486,6.4720516063907825e-05
7,1,0.5,0.0053503602805073927,-0.0051708766063096384,0.0074407203958293871,-0.010582982461933848,-0.012494829767622454,0.01593334274244124,0.0073239531613128158,0.065554511888366432,-0.02543051350612871,-0,0,0.0074407203958293871,0.070314330304052319,0.0046541877438149564,-0.0013112301930934412
8,0.5,1,0.00081262719208030783,0.0020706393611452587,0.0022243898752764475,0.0099474932806302135,0.012192327543575581,-0.0091348660885499054,-0.010121688182430323,-0.00090148418636648423,0.0066487814476278466,-0,-0,0.0022243898752764475,0.0067096176103105228,-0.00016336697079767705,0.00046940541148194985
9,0.25,0.25,-0.12977755197843024,0.28866891752018425,0.31649953702934402,-0.12398106352470248,0.30773926537272267,-0.0057964884537277661,-0.019070347852538416,-0.12345933211710926,0.28357994743624476,-0.13167146000124427,0.28770738895656334,0.0021240114824403011,0.0091910183270972508,-0.13116764572764042,0.28731793048006815
