iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
2,AcceptLocalization,2,0.077199142815184238,128,0.12993365700000001,2.3839364839999999
5,AcceptLocalization,2,0.058337221761143955,162,0.14725050200000001,2.6292043660000002
8,AcceptLocalization,2,0.090791433478401642,200,0.154143534,3.551684163
11,AcceptLocalization,2,0.11339230698326945,236,0.15023837600000001,4.702229365
14,AcceptLocalization,2,0.13705912961723576,270,0.150070489,5.8652129239999997
17,AcceptLocalization,2,0.14631060331902548,318,0.15474512600000001,7.7732123319999999
