target,status,first_iteration,reference_energy_error,U_prac,N_H,ell,rebuilt_correctors_cumulative,ambient_refined_elements_cumulative,time_total_cumulative
0.10000000000000001,reached,9,0.051024624503447587,0.021978472720764509,117,2,490,544,10.575599475000001
0.050000000000000003,reached,12,0.025710820539206539,0.010654674729614655,135,2,726,1120,16.089510118
0.02,reached,15,0.011292374222902335,0.004588268731488032,152,2,996,1664,22.828635990000002
0.01,reached,18,0.0057631432307325547,0.0023335632897616182,176,2,1314,2432,31.529820480999998
