iteration,k,ell,mark,neighbor_layers,basis_selection,denominator_selection,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,2,3,argmax-patch,0,trial,matched,trial,patch3,13,16,66049,131072,3,3,0,0.5,0.5,1,1,0.011048543456039806,0.011048543456039806,0,0,0,8.2474038097176555e-18,1,5.3965625986898341e-14,6.9714212538631411e-14,6.9714212538631411e-14,1.152699739308691e-15,0,2.6916780252648156,2.6916780252648396,3.1788991153215171,3.178899115321522,3.178899115321522,3.178899115321522,8,3,0.25,0.083333333333333329,1,0,3.230727100795479,13,7.0156688925376365,2.4487743637143618e-16,1.4579377648298867e-15,0,16,2.8284271247461903,247949.07608700002,158.61454499999999
1,2,3,argmax-patch,0,trial,matched,trial,patch3,14,17,66049,131072,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.011048543456039806,0.015625,1,0,1,9.1926468256579128e-14,1,3.308043623405847e-14,9.614637356983321e-14,9.614637356983321e-14,2.8465722801835679e-15,0,2.6233083630052665,3.1782270659787959,3.2670245878918891,3.5228958574338072,3.5228958574338072,4.9821271004108834,15,4,0.16666666666666666,0.083333333333333329,1,1,3.5456888582084884,14,11.342556307501633,2.007182215016282e-16,1.7305900234539174e-15,0,17,4,295516.264203,145.92122800000001
2,2,3,argmax-patch,0,trial,matched,trial,patch3,16,20,66049,131072,3,5,2,0.25,0.5,2,1.4142135623730951,0.011048543456039806,0.022097086912079612,1,1,2,3.8843352290733563e-15,1,3.4883039488969273e-14,5.3314921653813793e-14,5.3314921653813793e-14,2.0715291110983548e-15,0,2.6684193529354818,2.7601034456759237,3.1826677829339269,3.1844774230350565,3.1844774230350565,6.347350409693,4,3,0.75,0.083333333333333329,1,0,3.235619932544096,16,26.353437733571088,2.7125982494972321e-16,5.9159514146691424e-16,0,20,2.8284271247461903,557639.04729199992,146.528897
3,2,3,argmax-patch,0,trial,matched,trial,patch3,17,21,66049,131072,3,5,2,0.25,0.5,2,1.4142135623730951,0.011048543456039806,0.022097086912079612,1,0,1,9.2008497305808042e-14,1,2.9652705823142355e-14,8.0706849401461649e-14,8.0706849401461649e-14,2.7468717296669647e-15,0,2.6236742805820383,3.0519635802052822,3.2483745133472994,3.5398478247566953,3.5398478247566953,6.348552367178832,20,4,0.83333333333333337,0.083333333333333329,1,1,3.5628712750931517,17,48.011094258084981,3.3901031410750767e-16,1.0506843344560843e-15,0,20,4,412104.47445599997,171.275487
4,2,3,argmax-patch,0,trial,matched,trial,patch3,19,24,66049,131072,3,5,2,0.25,0.5,2,1.4142135623730951,0.011048543456039806,0.022097086912079612,1,1,2,5.4932741123474145e-15,1,3.9727548888004822e-14,6.3525448859896625e-14,6.3525448859896625e-14,3.3063766859966525e-15,0,2.6694489901560452,2.8102501845871362,3.1830218366328462,3.184809333609147,3.184809333609147,6.3485918178068408,7,3,0.083333333333333329,0.75,1,0,3.2359686066498234,19,18368.228929973338,3.6992327468522828e-16,1.1016546061565279e-15,0,22,2.8284271247461903,800773.58787100005,209.16461699999999
5,2,3,argmax-patch,0,trial,matched,trial,patch3,20,25,66049,131072,3,5,2,0.25,0.5,2,1.4142135623730951,0.011048543456039806,0.022097086912079612,1,0,1,9.2090453269581024e-14,1,3.3155462602549848e-14,1.240394027858036e-13,1.240394027858036e-13,6.6994039936394043e-15,0,2.6233611037222282,3.0519083847924411,3.2488526974965941,3.5399437419024031,3.5399437419024031,6.3496229004698828,23,4,0.083333333333333329,0.83333333333333337,1,1,3.5629672854879377,20,18299.80283722447,4.2792200029924861e-16,4.0098936780906747e-16,0,22,4,513255.98290400003,203.23607799999999
6,2,3,argmax-patch,0,trial,matched,trial,patch3,22,28,66049,131072,3,5,2,0.25,0.5,2,1.4142135623730951,0.011048543456039806,0.022097086912079612,1,1,2,6.7278588726022114e-15,1,2.3132158033105041e-14,1.2432748863763383e-13,1.2432748863763383e-13,2.7599031183135656e-15,0,2.6694664989821058,2.8121329067160761,3.1749776147258486,3.189362772735266,3.189362772735266,6.3499552294516972,5,3,0.75,0.91666666666666663,1,0,3.2402107588803952,22,18171.709373971207,4.9936136764854709e-16,1.2917788730659135e-15,0,25,2.8284271247461903,769141.091121,7430.2051920000004
