iteration,k,ell,mark,neighbor_layers,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,2,3,argmax-patch,1,coarse,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,8.4852813742385642,8.4852813742385642,8.485281374238566,8.485281374238566,8.485281374238566,8.485281374238566,7,3,0.91666666666666663,0.75,1,0,8.544003745317525,3,3.999999999999996,0,4.2414822972606285e-16,3.8933848534800047e-16,1,1,857.36607000000004,10.91536
0,2,3,argmax-patch,1,coarse,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,3.6044828737838008,3.6044828737838026,4.2811750887122884,4.2811750887122892,4.2811750887122892,4.2811750887122892,10,3,0.083333333333333329,0.75,1,0,4.316106271051761,7,8.3736389961776165,0,4.9043135335700943e-16,0,6,2.2360679774997898,857.36607000000004,45.288182999999997
0,2,3,argmax-patch,1,trial,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,41.827281128247037,41.827287005818647,64.224019734577254,64.224019891548352,64.224019891548352,64.224019891548352,2,3,0.25,0.58333333333333337,0,0,64.231804669150208,13,1376324184.7003155,3.0963536795529037e-16,2.989946523261817e-15,6.269891956947273e-12,1,1,857.36607000000004,60.640610000000002
0,2,3,argmax-patch,1,trial,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,2.7871341947107271,2.7871341947107666,3.4017874377964827,3.4017874377977031,3.4017874377977031,3.4017874377977031,10,3,0.083333333333333329,0.75,1,0,3.4512364551138393,13,13543633.649908543,1.0903431556842889e-16,7.1313325746343523e-16,0,6,2.2360679774997898,857.36607000000004,103.46327700000001
0,2,3,argmax-patch,1,test,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,41.827281128247037,41.827287005818647,64.224019734577254,64.224019891548352,64.224019891548352,64.224019891548352,2,3,0.25,0.58333333333333337,0,0,64.231804669150208,13,1376324184.7003155,3.0963536795529037e-16,2.989946523261817e-15,6.269891956947273e-12,1,1,857.36607000000004,115.907455
0,2,3,argmax-patch,1,test,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,2.7871341947107271,2.7871341947107666,3.4017874377964827,3.4017874377977031,3.4017874377977031,3.4017874377977031,10,3,0.083333333333333329,0.75,1,0,3.4512364551138393,13,13543633.649908543,1.0903431556842889e-16,7.1313325746343523e-16,0,6,2.2360679774997898,857.36607000000004,162.55331100000001
1,2,3,argmax-patch,1,coarse,element,18,23,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,6,1,7,4.2139931950666878e-15,1,8.9148675766832242e-15,4.0370922784479815e-15,4.0386311169026873e-15,5.5641008105824003e-16,0,8.4852813742385624,8.4852813742385713,8.4852813742385713,8.4852813742385766,8.4852813742385766,12,3,3,0.91666666666666663,0.75,1,0,8.5440037453175375,3,4.0000000000000071,5.5511151231257839e-17,1.1645185369284679e-16,0,1,1,1111.232164,7.7061060000000001
1,2,3,argmax-patch,1,coarse,patch1,18,23,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,6,1,7,4.2139931950666878e-15,1,8.9148675766832242e-15,4.0370922784479815e-15,4.0386311169026873e-15,5.5641008105824003e-16,0,3.1615770311083367,3.6711382485590609,4.5276057258120366,4.8623641932093244,4.8623641932093244,6.8764213872339388,13,4,0.083333333333333329,0.83333333333333337,1,0,4.8809561487072788,9,9.2749172176353554,0,4.5575064409956886e-16,0,8,2,1111.232164,42.005834
1,2,3,argmax-patch,1,trial,element,18,23,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,6,1,7,4.2139931950666878e-15,1,8.9148675766832242e-15,4.0370922784479815e-15,4.0386311169026873e-15,5.5641008105824003e-16,0,42.569944309942066,73.811081535097912,91.864346692831447,101.58356114104836,101.58356114104836,129.9158049915462,7,3,0.58333333333333337,0.25,0,0,101.58848307697231,16,92823674873.495026,2.3442135681566255e-16,2.5217173597140268e-14,2.1009408727548408e-11,1,1,1111.232164,62.362074
1,2,3,argmax-patch,1,trial,patch1,18,23,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,6,1,7,4.2139931950666878e-15,1,8.9148675766832242e-15,4.0370922784479815e-15,4.0386311169026873e-15,5.5641008105824003e-16,0,2.4459746783706304,2.9821961401180404,3.8591071169467739,3.9465277968427017,3.9465277968427017,5.5812331345773591,13,4,0.083333333333333329,0.83333333333333337,1,0,3.9720257405158761,18,464846147.66499883,2.4108551809505312e-16,1.4941606958872179e-15,0,8,2,1111.232164,138.86428699999999
