iteration,k,ell,mark,neighbor_layers,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,2,3,argmax-patch,0,coarse,element,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,8.4852813742385855,8.4852813742385855,8.4852813742385855,8.4852813742385855,8.4852813742385855,8.4852813742385855,15,3,0.75,0.58333333333333337,0,0,8.5440037453175464,3,4.0000000000000151,0,5.205245956471159e-16,0,1,1,2962.4581279999998,8.1673559999999998
0,2,3,argmax-patch,0,coarse,patch1,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,3.6044828737838208,3.6044828737838239,4.2811750887123088,4.2811750887123106,4.2811750887123106,4.2811750887123106,6,3,0.083333333333333329,0.25,1,0,4.3161062710517832,7,8.3736389961775757,0,6.5890659382209786e-16,0,6,2.2360679774997898,2962.4581279999998,59.636885999999997
0,2,3,argmax-patch,0,coarse,patch3,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,3.5363609081826284,3.536360908182631,4.1960335701083578,4.1960335701083578,4.1960335701083578,4.1960335701083578,11,3,0.91666666666666663,0.25,1,0,4.2316796333741866,13,7.1624477156883151,0,1.0489143580571986e-15,0,16,2.8284271247461903,2962.4581279999998,173.480897
0,2,3,argmax-patch,0,trial,element,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,53.953469312196923,53.953476275313044,69.971110226572378,69.971110659315457,69.971110659315457,69.971110659315457,0,3,0.41666666666666669,0.25,0,0,69.978256100907515,13,1438669367.3709919,2.7259530393916312e-16,1.3399949441841423e-15,5.3156789894822168e-12,1,1,2962.4581279999998,197.316632
0,2,3,argmax-patch,0,trial,patch1,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,2.7864029513723882,2.7864029513724091,3.3996483225397576,3.3996483225404912,3.3996483225404912,3.3996483225404912,4,3,0.75,0.083333333333333329,1,0,3.4491208871174703,13,13905395.225183904,9.732071594056214e-17,6.9321140547404251e-16,0,6,2.2360679774997898,2962.4581279999998,272.75497300000001
0,2,3,argmax-patch,0,trial,patch3,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,2.6934250619136,2.6934250619136062,3.1806029939723257,3.1806029939723262,3.1806029939723262,3.1806029939723262,11,3,0.91666666666666663,0.25,1,0,3.2323731413780292,13,7.015272446043185,2.7625367433788911e-16,9.7181480821141294e-16,0,16,2.8284271247461903,2962.4581279999998,408.542013
0,2,3,argmax-patch,0,test,element,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,53.953469312196923,53.953476275313044,69.971110226572378,69.971110659315457,69.971110659315457,69.971110659315457,0,3,0.41666666666666669,0.25,0,0,69.978256100907515,13,1438669367.3709919,2.7259530393916312e-16,1.3399949441841423e-15,5.3156789894822168e-12,1,1,2962.4581279999998,430.64711499999999
0,2,3,argmax-patch,0,test,patch1,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,2.7864029513723882,2.7864029513724091,3.3996483225397576,3.3996483225404912,3.3996483225404912,3.3996483225404912,4,3,0.75,0.083333333333333329,1,0,3.4491208871174703,13,13905395.225183904,9.732071594056214e-17,6.9321140547404251e-16,0,6,2.2360679774997898,2962.4581279999998,507.592894
0,2,3,argmax-patch,0,test,patch3,13,16,8321,16384,3,3,0,0.5,0.5,1,1,0.03125,0.03125,0,0,0,4.280211427484616e-17,1,2.2805270230321357e-14,8.7472478496984491e-15,8.7475258347789804e-15,3.5031048856378658e-15,0,2.6934250619136,2.6934250619136062,3.1806029939723257,3.1806029939723262,3.1806029939723262,3.1806029939723262,11,3,0.91666666666666663,0.25,1,0,3.2323731413780292,13,7.015272446043185,2.7625367433788911e-16,9.7181480821141294e-16,0,16,2.8284271247461903,2962.4581279999998,639.039447
1,2,3,argmax-patch,0,coarse,element,14,17,8321,16384,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.03125,0.044194173824159216,1,0,1,3.6640508928637732e-15,1,1.1366151344226199e-14,6.5273701471223271e-15,6.5272196794659037e-15,2.1859811980637928e-15,0,8.4852813742385624,8.4852813742385855,8.4852813742385891,8.4852813742386211,8.4852813742386211,11.999999999999991,11,3,0.58333333333333337,0.25,0,0,8.5440037453175819,3,4.0000000000000462,0,4.1267042242363785e-16,0,1,1,2391.6947140000002,11.584241
