iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
2,41,69,36,5,27,12,19,0.375,0.875,0.25,0.75,0.5,0.75
2,42,70,37,5,25,9,17,0.125,0.375,0.25,0.25,0.25,0.5
3,0,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
3,1,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
3,2,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
3,3,18,2,4,19,11,8,0.5,0.75,0.75,0.75,0.5,1
3,4,20,4,4,18,10,7,0.75,0.5,0.75,0.25,1,0.5
3,5,38,16,4,18,7,11,0.75,0.5,1,0.5,0.75,0.75
3,6,39,19,5,26,17,12,0.125,0.625,0.25,0.5,0.25,0.75
3,7,40,21,5,27,15,12,0.375,0.875,0.25,1,0.25,0.75
3,8,42,23,5,20,14,12,0.125,0.875,0,0.75,0.25,0.75
3,9,44,25,5,24,19,12,0.375,0.625,0.5,0.75,0.25,0.75
3,10,46,27,5,23,18,11,0.625,0.625,0.75,0.5,0.75,0.75
3,11,48,29,5,23,19,4,0.625,0.625,0.5,0.75,0.5,0.5
3,12,49,30,5,24,17,4,0.375,0.625,0.25,0.5,0.5,0.5
3,13,50,31,5,22,18,4,0.625,0.375,0.75,0.5,0.5,0.5
3,14,51,32,5,20,15,3,0.125,0.875,0.25,1,0,1
3,15,52,34,5,26,14,6,0.125,0.625,0,0.75,0,0.5
3,16,53,36,5,27,19,8,0.375,0.875,0.5,0.75,0.5,1
3,17,54,37,5,25,17,6,0.125,0.375,0.25,0.5,0,0.5
3,18,55,19,5,26,6,17,0.125,0.625,0,0.5,0.25,0.5
3,19,56,21,5,27,8,15,0.375,0.875,0.5,1,0.25,1
3,20,57,22,5,25,6,13,0.125,0.375,0,0.5,0,0.25
3,21,58,23,5,20,3,14,0.125,0.875,0,1,0,0.75
3,22,60,25,5,24,4,19,0.375,0.625,0.5,0.5,0.5,0.75
3,23,61,26,5,21,4,17,0.375,0.375,0.5,0.5,0.25,0.5
3,24,62,27,5,23,4,18,0.625,0.625,0.5,0.5,0.75,0.5
3,25,64,29,5,23,11,19,0.625,0.625,0.75,0.75,0.5,0.75
3,26,65,30,5,24,12,17,0.375,0.625,0.25,0.75,0.25,0.5
3,27,66,31,5,22,10,18,0.625,0.375,0.75,0.25,0.75,0.5
3,28,67,32,5,20,12,15,0.125,0.875,0.25,0.75,0.25,1
3,29,68,34,5,26,12,14,0.125,0.625,0.25,0.75,0,0.75
3,30,69,36,5,27,12,19,0.375,0.875,0.25,0.75,0.5,0.75
3,31,71,33,5,29,13,0,0.125,0.125,0,0.25,0,0
3,32,72,35,5,33,16,5,0.625,0.125,0.5,0.25,0.5,0
3,33,73,41,6,34,25,13,0.125,0.25,0.125,0.375,0,0.25
3,34,74,43,6,37,22,16,0.625,0.25,0.625,0.375,0.5,0.25
3,35,75,45,6,36,21,17,0.25,0.375,0.375,0.375,0.25,0.5
3,36,76,47,6,31,21,16,0.5,0.375,0.375,0.375,0.5,0.25
3,37,77,59,6,31,22,4,0.5,0.375,0.625,0.375,0.5,0.5
3,38,78,63,6,35,21,9,0.375,0.25,0.375,0.375,0.25,0.25
3,39,79,70,6,36,25,9,0.25,0.375,0.125,0.375,0.25,0.25
3,40,80,5,4,30,1,10,0.75,0,1,0,0.75,0.25
3,41,81,17,5,32,5,16,0.375,0.125,0.5,0,0.5,0.25
3,42,82,41,6,34,9,25,0.125,0.25,0.25,0.25,0.125,0.375
3,43,83,43,6,37,10,22,0.625,0.25,0.75,0.25,0.625,0.375
3,44,84,45,6,36,9,21,0.25,0.375,0.25,0.25,0.375,0.375
3,45,85,47,6,31,4,21,0.5,0.375,0.5,0.5,0.375,0.375
3,46,86,59,6,31,16,22,0.5,0.375,0.5,0.25,0.625,0.375
3,47,87,63,6,35,16,21,0.375,0.25,0.5,0.25,0.375,0.375
3,48,88,70,6,36,17,25,0.25,0.375,0.25,0.5,0.125,0.375
3,49,89,5,5,33,30,10,0.625,0.125,0.75,0,0.75,0.25
3,50,90,9,5,29,28,9,0.125,0.125,0.25,0,0.25,0.25
3,51,91,17,6,35,32,16,0.375,0.25,0.375,0.125,0.5,0.25
3,52,92,9,5,32,28,5,0.375,0.125,0.25,0,0.5,0
3,53,93,33,6,34,29,9,0.125,0.25,0.125,0.125,0.25,0.25
3,54,94,35,6,37,33,10,0.625,0.25,0.625,0.125,0.75,0.25
3,55,95,5,5,33,5,30,0.625,0.125,0.5,0,0.75,0
3,56,96,9,5,29,0,28,0.125,0.125,0,0,0.25,0
3,57,97,17,6,35,9,32,0.375,0.25,0.25,0.25,0.375,0.125
3,58,98,9,5,32,9,28,0.375,0.125,0.25,0.25,0.25,0
3,59,99,33,6,34,13,29,0.125,0.25,0,0.25,0.125,0.125
3,60,100,35,6,37,16,33,0.625,0.25,0.5,0.25,0.625,0.125
4,0,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
4,1,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
4,2,18,2,4,19,11,8,0.5,0.75,0.75,0.75,0.5,1
4,3,38,16,4,18,7,11,0.75,0.5,1,0.5,0.75,0.75
4,4,39,19,5,26,17,12,0.125,0.625,0.25,0.5,0.25,0.75
4,5,40,21,5,27,15,12,0.375,0.875,0.25,1,0.25,0.75
4,6,42,23,5,20,14,12,0.125,0.875,0,0.75,0.25,0.75
4,7,44,25,5,24,19,12,0.375,0.625,0.5,0.75,0.25,0.75
4,8,46,27,5,23,18,11,0.625,0.625,0.75,0.5,0.75,0.75
4,9,48,29,5,23,19,4,0.625,0.625,0.5,0.75,0.5,0.5
4,10,49,30,5,24,17,4,0.375,0.625,0.25,0.5,0.5,0.5
4,11,50,31,5,22,18,4,0.625,0.375,0.75,0.5,0.5,0.5
4,12,51,32,5,20,15,3,0.125,0.875,0.25,1,0,1
4,13,52,34,5,26,14,6,0.125,0.625,0,0.75,0,0.5
4,14,53,36,5,27,19,8,0.375,0.875,0.5,0.75,0.5,1
4,15,54,37,5,25,17,6,0.125,0.375,0.25,0.5,0,0.5
4,16,55,19,5,26,6,17,0.125,0.625,0,0.5,0.25,0.5
4,17,56,21,5,27,8,15,0.375,0.875,0.5,1,0.25,1
4,18,57,22,5,25,6,13,0.125,0.375,0,0.5,0,0.25
4,19,58,23,5,20,3,14,0.125,0.875,0,1,0,0.75
4,20,60,25,5,24,4,19,0.375,0.625,0.5,0.5,0.5,0.75
4,21,61,26,5,21,4,17,0.375,0.375,0.5,0.5,0.25,0.5
4,22,62,27,5,23,4,18,0.625,0.625,0.5,0.5,0.75,0.5
4,23,64,29,5,23,11,19,0.625,0.625,0.75,0.75,0.5,0.75
4,24,65,30,5,24,12,17,0.375,0.625,0.25,0.75,0.25,0.5
4,25,67,32,5,20,12,15,0.125,0.875,0.25,0.75,0.25,1
4,26,68,34,5,26,12,14,0.125,0.625,0.25,0.75,0,0.75
4,27,69,36,5,27,12,19,0.375,0.875,0.25,0.75,0.5,0.75
4,28,71,33,5,29,13,0,0.125,0.125,0,0.25,0,0
4,29,72,35,5,33,16,5,0.625,0.125,0.5,0.25,0.5,0
4,30,73,41,6,34,25,13,0.125,0.25,0.125,0.375,0,0.25
4,31,74,43,6,37,22,16,0.625,0.25,0.625,0.375,0.5,0.25
4,32,75,45,6,36,21,17,0.25,0.375,0.375,0.375,0.25,0.5
4,33,76,47,6,31,21,16,0.5,0.375,0.375,0.375,0.5,0.25
4,34,77,59,6,31,22,4,0.5,0.375,0.625,0.375,0.5,0.5
4,35,78,63,6,35,21,9,0.375,0.25,0.375,0.375,0.25,0.25
4,36,79,70,6,36,25,9,0.25,0.375,0.125,0.375,0.25,0.25
4,37,81,17,5,32,5,16,0.375,0.125,0.5,0,0.5,0.25
4,38,82,41,6,34,9,25,0.125,0.25,0.25,0.25,0.125,0.375
4,39,84,45,6,36,9,21,0.25,0.375,0.25,0.25,0.375,0.375
4,40,85,47,6,31,4,21,0.5,0.375,0.5,0.5,0.375,0.375
4,41,86,59,6,31,16,22,0.5,0.375,0.5,0.25,0.625,0.375
4,42,87,63,6,35,16,21,0.375,0.25,0.5,0.25,0.375,0.375
4,43,88,70,6,36,17,25,0.25,0.375,0.25,0.5,0.125,0.375
