iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
3,20,40,28,5,19,9,16,0.125,0.375,0.25,0.25,0.25,0.5
3,21,41,22,5,20,16,9,0.375,0.375,0.25,0.5,0.25,0.25
3,22,42,23,5,20,15,4,0.375,0.375,0.5,0.25,0.5,0.5
3,23,43,29,6,23,18,15,0.375,0.25,0.375,0.125,0.5,0.25
3,24,44,30,6,22,19,14,0.125,0.25,0.125,0.375,0,0.25
3,25,45,31,6,21,17,13,0.25,0.125,0.125,0.125,0.25,0
3,26,46,38,6,22,17,9,0.125,0.25,0.125,0.125,0.25,0.25
3,27,47,39,6,21,18,9,0.25,0.125,0.375,0.125,0.25,0.25
3,28,48,22,5,20,4,16,0.375,0.375,0.5,0.5,0.25,0.5
3,29,49,29,6,23,9,18,0.375,0.25,0.25,0.25,0.375,0.125
3,30,50,30,6,22,9,19,0.125,0.25,0.25,0.25,0.125,0.375
3,31,51,31,6,21,9,17,0.25,0.125,0.25,0.25,0.125,0.125
3,32,52,38,6,22,14,17,0.125,0.25,0,0.25,0.125,0.125
3,33,53,39,6,21,13,18,0.25,0.125,0.25,0,0.375,0.125
3,34,54,23,6,23,20,9,0.375,0.25,0.375,0.375,0.25,0.25
3,35,55,23,6,23,15,20,0.375,0.25,0.5,0.25,0.375,0.375
4,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
4,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
4,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
4,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
4,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
4,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
4,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
4,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
4,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
4,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
4,10,18,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
4,11,21,13,4,15,10,4,0.5,0.25,0.75,0.25,0.5,0.5
4,12,24,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
4,13,27,13,4,15,5,10,0.5,0.25,0.5,0,0.75,0.25
4,14,32,25,5,17,14,0,0.125,0.125,0,0.25,0,0
4,15,33,26,5,18,13,5,0.375,0.125,0.25,0,0.5,0
4,16,34,28,5,19,16,6,0.125,0.375,0.25,0.5,0,0.5
4,17,35,17,5,18,5,15,0.375,0.125,0.5,0,0.5,0.25
4,18,36,19,5,19,6,14,0.125,0.375,0,0.5,0,0.25
4,19,37,20,5,17,0,13,0.125,0.125,0,0,0.25,0
4,20,40,28,5,19,9,16,0.125,0.375,0.25,0.25,0.25,0.5
4,21,41,22,5,20,16,9,0.375,0.375,0.25,0.5,0.25,0.25
4,22,42,23,5,20,15,4,0.375,0.375,0.5,0.25,0.5,0.5
4,23,43,29,6,23,18,15,0.375,0.25,0.375,0.125,0.5,0.25
4,24,44,30,6,22,19,14,0.125,0.25,0.125,0.375,0,0.25
4,25,45,31,6,21,17,13,0.25,0.125,0.125,0.125,0.25,0
4,26,48,22,5,20,4,16,0.375,0.375,0.5,0.5,0.25,0.5
4,27,50,30,6,22,9,19,0.125,0.25,0.25,0.25,0.125,0.375
4,28,52,38,6,22,14,17,0.125,0.25,0,0.25,0.125,0.125
4,29,53,39,6,21,13,18,0.25,0.125,0.25,0,0.375,0.125
4,30,54,23,6,23,20,9,0.375,0.25,0.375,0.375,0.25,0.25
4,31,55,23,6,23,15,20,0.375,0.25,0.5,0.25,0.375,0.375
4,32,56,46,7,24,22,17,0.1875,0.1875,0.125,0.25,0.125,0.125
4,33,57,47,7,25,21,18,0.3125,0.1875,0.25,0.125,0.375,0.125
4,34,58,49,7,25,23,9,0.3125,0.1875,0.375,0.25,0.25,0.25
4,35,59,51,7,24,21,9,0.1875,0.1875,0.25,0.125,0.25,0.25
4,36,60,46,7,24,9,22,0.1875,0.1875,0.25,0.25,0.125,0.25
4,37,61,47,7,25,9,21,0.3125,0.1875,0.25,0.25,0.25,0.125
4,38,62,49,7,25,18,23,0.3125,0.1875,0.375,0.125,0.375,0.25
4,39,63,51,7,24,17,21,0.1875,0.1875,0.125,0.125,0.25,0.125
5,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
5,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
5,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
5,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
5,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
5,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
5,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
5,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
5,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
5,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
5,10,18,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
5,11,21,13,4,15,10,4,0.5,0.25,0.75,0.25,0.5,0.5
5,12,24,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
5,13,27,13,4,15,5,10,0.5,0.25,0.5,0,0.75,0.25
5,14,32,25,5,17,14,0,0.125,0.125,0,0.25,0,0
5,15,33,26,5,18,13,5,0.375,0.125,0.25,0,0.5,0
5,16,34,28,5,19,16,6,0.125,0.375,0.25,0.5,0,0.5
5,17,35,17,5,18,5,15,0.375,0.125,0.5,0,0.5,0.25
5,18,36,19,5,19,6,14,0.125,0.375,0,0.5,0,0.25
5,19,37,20,5,17,0,13,0.125,0.125,0,0,0.25,0
5,20,42,23,5,20,15,4,0.375,0.375,0.5,0.25,0.5,0.5
5,21,43,29,6,23,18,15,0.375,0.25,0.375,0.125,0.5,0.25
5,22,44,30,6,22,19,14,0.125,0.25,0.125,0.375,0,0.25
5,23,45,31,6,21,17,13,0.25,0.125,0.125,0.125,0.25,0
5,24,48,22,5,20,4,16,0.375,0.375,0.5,0.5,0.25,0.5
5,25,50,30,6,22,9,19,0.125,0.25,0.25,0.25,0.125,0.375
5,26,52,38,6,22,14,17,0.125,0.25,0,0.25,0.125,0.125
5,27,53,39,6,21,13,18,0.25,0.125,0.25,0,0.375,0.125
5,28,55,23,6,23,15,20,0.375,0.25,0.5,0.25,0.375,0.375
5,29,56,46,7,24,22,17,0.1875,0.1875,0.125,0.25,0.125,0.125
5,30,57,47,7,25,21,18,0.3125,0.1875,0.25,0.125,0.375,0.125
5,31,60,46,7,24,9,22,0.1875,0.1875,0.25,0.25,0.125,0.25
5,32,62,49,7,25,18,23,0.3125,0.1875,0.375,0.125,0.375,0.25
5,33,63,51,7,24,17,21,0.1875,0.1875,0.125,0.125,0.25,0.125
5,34,64,40,6,26,19,9,0.25,0.375,0.125,0.375,0.25,0.25
5,35,65,41,6,26,20,16,0.25,0.375,0.375,0.375,0.25,0.5
5,36,66,54,7,27,23,20,0.3125,0.3125,0.375,0.25,0.375,0.375
5,37,67,58,8,29,25,23,0.3125,0.25,0.3125,0.1875,0.375,0.25
5,38,68,59,8,28,24,21,0.25,0.1875,0.1875,0.1875,0.25,0.125
5,39,69,61,8,28,25,9,0.25,0.1875,0.3125,0.1875,0.25,0.25
5,40,70,40,6,26,16,19,0.25,0.375,0.25,0.5,0.125,0.375
5,41,71,58,8,29,9,25,0.3125,0.25,0.25,0.25,0.3125,0.1875
5,42,72,59,8,28,9,24,0.25,0.1875,0.25,0.25,0.1875,0.1875
5,43,73,61,8,28,21,25,0.25,0.1875,0.25,0.125,0.3125,0.1875
5,44,74,41,7,27,26,9,0.3125,0.3125,0.25,0.375,0.25,0.25
5,45,75,54,8,29,27,9,0.3125,0.25,0.3125,0.3125,0.25,0.25
5,46,76,41,7,27,20,26,0.3125,0.3125,0.375,0.375,0.25,0.375
5,47,77,54,8,29,23,27,0.3125,0.25,0.375,0.25,0.3125,0.3125
6,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
6,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
6,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
6,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
6,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
6,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
6,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
6,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
6,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
6,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
6,10,18,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
6,11,21,13,4,15,10,4,0.5,0.25,0.75,0.25,0.5,0.5
6,12,24,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
6,13,27,13,4,15,5,10,0.5,0.25,0.5,0,0.75,0.25
6,14,32,25,5,17,14,0,0.125,0.125,0,0.25,0,0
6,15,33,26,5,18,13,5,0.375,0.125,0.25,0,0.5,0
6,16,34,28,5,19,16,6,0.125,0.375,0.25,0.5,0,0.5
6,17,35,17,5,18,5,15,0.375,0.125,0.5,0,0.5,0.25
6,18,36,19,5,19,6,14,0.125,0.375,0,0.5,0,0.25
6,19,37,20,5,17,0,13,0.125,0.125,0,0,0.25,0
6,20,42,23,5,20,15,4,0.375,0.375,0.5,0.25,0.5,0.5
6,21,43,29,6,23,18,15,0.375,0.25,0.375,0.125,0.5,0.25
6,22,44,30,6,22,19,14,0.125,0.25,0.125,0.375,0,0.25
6,23,45,31,6,21,17,13,0.25,0.125,0.125,0.125,0.25,0
6,24,48,22,5,20,4,16,0.375,0.375,0.5,0.5,0.25,0.5
6,25,50,30,6,22,9,19,0.125,0.25,0.25,0.25,0.125,0.375
6,26,52,38,6,22,14,17,0.125,0.25,0,0.25,0.125,0.125
6,27,53,39,6,21,13,18,0.25,0.125,0.25,0,0.375,0.125
6,28,55,23,6,23,15,20,0.375,0.25,0.5,0.25,0.375,0.375
6,29,56,46,7,24,22,17,0.1875,0.1875,0.125,0.25,0.125,0.125
6,30,57,47,7,25,21,18,0.3125,0.1875,0.25,0.125,0.375,0.125
6,31,60,46,7,24,9,22,0.1875,0.1875,0.25,0.25,0.125,0.25
6,32,62,49,7,25,18,23,0.3125,0.1875,0.375,0.125,0.375,0.25
6,33,63,51,7,24,17,21,0.1875,0.1875,0.125,0.125,0.25,0.125
6,34,64,40,6,26,19,9,0.25,0.375,0.125,0.375,0.25,0.25
6,35,65,41,6,26,20,16,0.25,0.375,0.375,0.375,0.25,0.5
6,36,66,54,7,27,23,20,0.3125,0.3125,0.375,0.25,0.375,0.375
6,37,67,58,8,29,25,23,0.3125,0.25,0.3125,0.1875,0.375,0.25
6,38,68,59,8,28,24,21,0.25,0.1875,0.1875,0.1875,0.25,0.125
6,39,70,40,6,26,16,19,0.25,0.375,0.25,0.5,0.125,0.375
6,40,72,59,8,28,9,24,0.25,0.1875,0.25,0.25,0.1875,0.1875
6,41,73,61,8,28,21,25,0.25,0.1875,0.25,0.125,0.3125,0.1875
6,42,74,41,7,27,26,9,0.3125,0.3125,0.25,0.375,0.25,0.25
6,43,75,54,8,29,27,9,0.3125,0.25,0.3125,0.3125,0.25,0.25
6,44,76,41,7,27,20,26,0.3125,0.3125,0.375,0.375,0.25,0.375
6,45,77,54,8,29,23,27,0.3125,0.25,0.375,0.25,0.3125,0.3125
6,46,78,69,9,30,28,25,0.28125,0.21875,0.25,0.1875,0.3125,0.1875
6,47,79,71,9,30,29,9,0.28125,0.21875,0.3125,0.25,0.25,0.25
6,48,80,69,9,30,9,28,0.28125,0.21875,0.25,0.25,0.25,0.1875
6,49,81,71,9,30,25,29,0.28125,0.21875,0.3125,0.1875,0.3125,0.25
