iteration,k,ell,mark,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,2,3,boundary-chain,coarse,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,8.4852813742385642,8.4852813742385642,8.485281374238566,8.485281374238566,8.485281374238566,8.485281374238566,7,3,0.91666666666666663,0.75,1,0,8.544003745317525,3,3.999999999999996,0,4.2414822972606285e-16,3.8933848534800047e-16,1,1,643.30920500000002,3.6319729999999999
0,2,3,boundary-chain,coarse,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,3.6044828737838008,3.6044828737838026,4.2811750887122884,4.2811750887122892,4.2811750887122892,4.2811750887122892,10,3,0.083333333333333329,0.75,1,0,4.316106271051761,7,8.3736389961776165,0,4.9043135335700943e-16,0,6,2.2360679774997898,643.30920500000002,30.577107000000002
0,2,3,boundary-chain,trial,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,41.827281128247037,41.827287005818647,64.224019734577254,64.224019891548352,64.224019891548352,64.224019891548352,2,3,0.25,0.58333333333333337,0,0,64.231804669150208,13,1376324184.7003155,3.0963536795529037e-16,2.989946523261817e-15,6.269891956947273e-12,1,1,643.30920500000002,43.493222000000003
0,2,3,boundary-chain,trial,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,2.7871341947107271,2.7871341947107666,3.4017874377964827,3.4017874377977031,3.4017874377977031,3.4017874377977031,10,3,0.083333333333333329,0.75,1,0,3.4512364551138393,13,13543633.649908543,1.0903431556842889e-16,7.1313325746343523e-16,0,6,2.2360679774997898,643.30920500000002,79.979906999999997
0,2,3,boundary-chain,test,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,41.827281128247037,41.827287005818647,64.224019734577254,64.224019891548352,64.224019891548352,64.224019891548352,2,3,0.25,0.58333333333333337,0,0,64.231804669150208,13,1376324184.7003155,3.0963536795529037e-16,2.989946523261817e-15,6.269891956947273e-12,1,1,643.30920500000002,90.923293999999999
0,2,3,boundary-chain,test,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,2.7871341947107271,2.7871341947107666,3.4017874377964827,3.4017874377977031,3.4017874377977031,3.4017874377977031,10,3,0.083333333333333329,0.75,1,0,3.4512364551138393,13,13543633.649908543,1.0903431556842889e-16,7.1313325746343523e-16,0,6,2.2360679774997898,643.30920500000002,128.718772
1,2,3,boundary-chain,coarse,element,14,18,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,1,1,2,5.6526709699651602e-15,1,1.2265375995985517e-14,4.5668443448158932e-15,4.5673892235019811e-15,5.8581884250834894e-16,0,8.4852813742385553,8.4852813742385642,8.4852813742385766,8.4852813742385766,8.4852813742385766,12,4,3,0.25,0.91666666666666663,1,0,8.5440037453175375,3,4.0000000000000071,5.5511151231257839e-17,1.1645185369284679e-16,0,1,1,820.43267100000003,3.952448
1,2,3,boundary-chain,coarse,patch1,14,18,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,1,1,2,5.6526709699651602e-15,1,1.2265375995985517e-14,4.5668443448158932e-15,4.5673892235019811e-15,5.8581884250834894e-16,0,3.1129920448406994,3.6465683011113907,4.3609854894208624,4.3609854894208677,4.3609854894208677,4.6287967888531742,9,3,0.083333333333333329,0.75,1,1,4.3962074242453442,8,8.2719412443890761,1.6349611453819181e-17,4.7439301027657488e-16,0,7,2.2360679774997898,820.43267100000003,29.989363999999998
1,2,3,boundary-chain,trial,element,14,18,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,1,1,2,5.6526709699651602e-15,1,1.2265375995985517e-14,4.5668443448158932e-15,4.5673892235019811e-15,5.8581884250834894e-16,0,42.173769577799774,51.304355487705465,84.095270873564829,84.095273874451564,84.095273874451564,84.095273874451564,2,3,0.75,0.41666666666666669,0,0,84.10121930204626,14,26873130626.442944,7.6869381191268497e-17,3.0324242744024411e-15,1.0160138706177013e-11,1,1,820.43267100000003,43.039037999999998
1,2,3,boundary-chain,trial,patch1,14,18,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,1,1,2,5.6526709699651602e-15,1,1.2265375995985517e-14,4.5668443448158932e-15,4.5673892235019811e-15,5.8581884250834894e-16,0,2.4320587345236055,2.8196916768126741,3.402002429599583,3.4020024296005169,3.4020024296005169,3.987646211065107,6,3,0.91666666666666663,0.75,1,0,3.4514861820381144,14,49726918.57356333,1.4606781342381933e-16,4.3881471809498958e-16,0,6,2.2360679774997898,820.43267100000003,86.093682000000001
1,2,3,boundary-chain,test,element,14,18,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,1,1,2,5.6526709699651602e-15,1,1.2265375995985517e-14,4.5668443448158932e-15,4.5673892235019811e-15,5.8581884250834894e-16,0,42.173769577799774,51.304355487705465,84.095270873564829,84.095273874451564,84.095273874451564,84.095273874451564,2,3,0.75,0.41666666666666669,0,0,84.10121930204626,14,26873130626.442944,7.6869381191268497e-17,3.0324242744024411e-15,1.0160138706177013e-11,1,1,820.43267100000003,97.577556999999999
1,2,3,boundary-chain,test,patch1,14,18,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,1,1,2,5.6526709699651602e-15,1,1.2265375995985517e-14,4.5668443448158932e-15,4.5673892235019811e-15,5.8581884250834894e-16,0,2.4320587345236055,2.8196916768126741,3.402002429599583,3.4020024296005169,3.4020024296005169,3.987646211065107,6,3,0.91666666666666663,0.75,1,0,3.4514861820381144,14,49726918.57356333,1.4606781342381933e-16,4.3881471809498958e-16,0,6,2.2360679774997898,820.43267100000003,137.06338600000001
2,2,3,boundary-chain,coarse,element,16,21,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,1,1,2,4.990495845004144e-15,1,8.9769515009393028e-15,5.9043700926154976e-15,5.9043338414935854e-15,1.1587332070964456e-15,0,8.4852813742385553,8.485281374238566,8.4852813742385766,8.4852813742385944,8.4852813742385944,16.970562748477132,13,4,0.33333333333333331,0.41666666666666669,0,1,8.5146931829632244,3,4.0000000000000195,0,1.9204287646091331e-16,1.5313421029312417e-18,1,1,2068.9298140000001,3.7404199999999999
2,2,3,boundary-chain,coarse,patch1,16,21,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,1,1,2,4.990495845004144e-15,1,8.9769515009393028e-15,5.9043700926154976e-15,5.9043338414935854e-15,1.1587332070964456e-15,0,3.1083978413075619,3.631322107198657,4.4989202936544039,4.6699358415005063,4.6699358415005063,7.112206846480805,4,3,0.25,0.91666666666666663,1,1,4.7116095958726465,9,14.655442645605143,3.1938671806311866e-17,2.9727295613123764e-16,0,8,2.0615528128088303,2068.9298140000001,28.504852
2,2,3,boundary-chain,trial,element,16,21,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,1,1,2,4.990495845004144e-15,1,8.9769515009393028e-15,5.9043700926154976e-15,5.9043338414935854e-15,1.1587332070964456e-15,0,32.290792693403517,55.368555623308232,88.239561629269986,94.243337162039921,94.243337162039921,94.243337162039921,10,3,0.58333333333333337,0.25,0,0,94.248642429998597,16,743860789338.39392,3.2844025169529549e-16,1.5434710376954812e-14,5.1762771066681176e-11,1,1,2068.9298140000001,43.080081999999997
2,2,3,boundary-chain,trial,patch1,16,21,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,1,1,2,4.990495845004144e-15,1,8.9769515009393028e-15,5.9043700926154976e-15,5.9043338414935854e-15,1.1587332070964456e-15,0,2.4139198721235222,2.8380301636660468,3.6414056041142362,4.8820143431022709,4.8820143431022709,8.1431454879360654,3,3,0.75,0.083333333333333329,1,0,4.9001026572760411,16,1817694725.082231,1.1891889039187308e-16,6.4120994468027382e-16,0,6,2.2360679774997898,2068.9298140000001,88.020923999999994
2,2,3,boundary-chain,test,element,16,21,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,1,1,2,4.990495845004144e-15,1,8.9769515009393028e-15,5.9043700926154976e-15,5.9043338414935854e-15,1.1587332070964456e-15,0,32.290792693403517,55.368555623308232,88.239561629269986,94.243337162039921,94.243337162039921,94.243337162039921,10,3,0.58333333333333337,0.25,0,0,94.248642429998597,16,743860789338.39392,3.2844025169529549e-16,1.5434710376954812e-14,5.1762771066681176e-11,1,1,2068.9298140000001,101.591071
2,2,3,boundary-chain,test,patch1,16,21,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,1,1,2,4.990495845004144e-15,1,8.9769515009393028e-15,5.9043700926154976e-15,5.9043338414935854e-15,1.1587332070964456e-15,0,2.4139198721235222,2.8380301636660468,3.6414056041142362,4.8820143431022709,4.8820143431022709,8.1431454879360654,3,3,0.75,0.083333333333333329,1,0,4.9001026572760411,16,1817694725.082231,1.1891889039187308e-16,6.4120994468027382e-16,0,6,2.2360679774997898,2068.9298140000001,148.90951799999999
3,2,3,boundary-chain,coarse,element,19,26,4225,8192,3,6,3,0.17677669529663689,0.5,2.8284271247461898,1.4142135623730951,0.044194173824159223,0.125,1,2,3,1.4110099197666796e-15,1,1.1278632063327509e-14,4.3871520712632983e-15,4.3865695906087638e-15,8.8937904251672685e-16,0,8.4852813742385553,8.4852813742385678,8.4852813742385766,8.4852813742385926,8.4852813742385926,24,12,4,0.33333333333333331,0.41666666666666669,0,1,8.5146931829632209,3,4.000000000000016,0,2.5572460893404332e-16,5.8956670962852829e-16,1,1,1069.095325,4.7665949999999997
3,2,3,boundary-chain,coarse,patch1,19,26,4225,8192,3,6,3,0.17677669529663689,0.5,2.8284271247461898,1.4142135623730951,0.044194173824159223,0.125,1,2,3,1.4110099197666796e-15,1,1.1278632063327509e-14,4.3871520712632983e-15,4.3865695906087638e-15,8.8937904251672685e-16,0,3.108397841307561,3.631322107198653,4.6031326155763983,4.6699358415005072,4.6699358415005072,9.2575935777063396,4,3,0.25,0.91666666666666663,1,1,4.7116095958726492,9,14.655442645605149,3.1938671806311866e-17,8.3981487080504768e-16,0,8,2.0615528128088303,1069.095325,36.203048000000003
