iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
4,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
4,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
4,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
4,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
4,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
4,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
4,10,18,13,4,13,10,4,0.5,0.25,0.75,0.25,0.5,0.5
4,11,20,13,4,13,5,10,0.5,0.25,0.5,0,0.75,0.25
4,12,23,17,5,15,5,13,0.375,0.125,0.5,0,0.5,0.25
4,13,24,9,5,15,14,5,0.375,0.125,0.25,0,0.5,0
4,14,26,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
4,15,27,19,5,17,13,4,0.375,0.375,0.5,0.25,0.5,0.5
4,16,28,22,6,18,15,13,0.375,0.25,0.375,0.125,0.5,0.25
4,17,29,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
4,18,30,15,4,16,6,9,0.25,0.5,0,0.5,0.25,0.25
4,19,32,15,5,17,16,9,0.375,0.375,0.25,0.5,0.25,0.25
4,20,33,19,6,18,17,9,0.375,0.25,0.375,0.375,0.25,0.25
4,21,34,15,5,17,4,16,0.375,0.375,0.5,0.5,0.25,0.5
4,22,35,19,6,18,13,17,0.375,0.25,0.5,0.25,0.375,0.375
4,23,36,7,4,19,9,6,0,0.25,0.25,0.25,0,0.5
4,24,37,31,7,22,18,9,0.3125,0.1875,0.375,0.25,0.25,0.25
4,25,38,21,5,20,0,14,0.125,0.125,0,0,0.25,0
4,26,39,25,6,21,14,15,0.25,0.125,0.25,0,0.375,0.125
4,27,40,31,7,22,15,18,0.3125,0.1875,0.375,0.125,0.375,0.25
4,28,41,21,6,21,20,14,0.25,0.125,0.125,0.125,0.25,0
4,29,42,25,7,22,21,15,0.3125,0.1875,0.25,0.125,0.375,0.125
4,30,43,7,5,20,19,0,0.125,0.125,0,0.25,0,0
4,31,44,21,6,21,9,20,0.25,0.125,0.25,0.25,0.125,0.125
4,32,45,25,7,22,9,21,0.3125,0.1875,0.25,0.25,0.25,0.125
4,33,46,7,5,20,9,19,0.125,0.125,0.25,0.25,0,0.25
5,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
5,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
5,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
5,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
5,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
5,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
5,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
5,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
5,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
5,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
5,10,18,13,4,13,10,4,0.5,0.25,0.75,0.25,0.5,0.5
5,11,20,13,4,13,5,10,0.5,0.25,0.5,0,0.75,0.25
5,12,23,17,5,15,5,13,0.375,0.125,0.5,0,0.5,0.25
5,13,24,9,5,15,14,5,0.375,0.125,0.25,0,0.5,0
5,14,26,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
5,15,27,19,5,17,13,4,0.375,0.375,0.5,0.25,0.5,0.5
5,16,28,22,6,18,15,13,0.375,0.25,0.375,0.125,0.5,0.25
5,17,29,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
5,18,34,15,5,17,4,16,0.375,0.375,0.5,0.5,0.25,0.5
5,19,35,19,6,18,13,17,0.375,0.25,0.5,0.25,0.375,0.375
5,20,38,21,5,20,0,14,0.125,0.125,0,0,0.25,0
5,21,39,25,6,21,14,15,0.25,0.125,0.25,0,0.375,0.125
5,22,40,31,7,22,15,18,0.3125,0.1875,0.375,0.125,0.375,0.25
5,23,41,21,6,21,20,14,0.25,0.125,0.125,0.125,0.25,0
5,24,42,25,7,22,21,15,0.3125,0.1875,0.25,0.125,0.375,0.125
5,25,43,7,5,20,19,0,0.125,0.125,0,0.25,0,0
5,26,44,21,6,21,9,20,0.25,0.125,0.25,0.25,0.125,0.125
5,27,45,25,7,22,9,21,0.3125,0.1875,0.25,0.25,0.25,0.125
5,28,46,7,5,20,9,19,0.125,0.125,0.25,0.25,0,0.25
5,29,47,30,5,23,16,6,0.125,0.375,0.25,0.5,0,0.5
5,30,48,32,6,24,17,16,0.25,0.375,0.375,0.375,0.25,0.5
5,31,49,33,7,25,18,17,0.3125,0.3125,0.375,0.25,0.375,0.375
5,32,50,36,5,23,19,9,0.125,0.375,0,0.25,0.25,0.25
5,33,51,37,8,26,22,18,0.3125,0.25,0.3125,0.1875,0.375,0.25
5,34,52,36,5,23,6,19,0.125,0.375,0,0.5,0,0.25
