iteration,k,ell,mark,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,1,3,fraction,coarse,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.8272310589212843e-14,4.5597857600389585e-15,4.5597762489475515e-15,8.3089129106440967e-16,0,8.4852813742385642,8.4852813742385642,8.485281374238566,8.485281374238566,8.485281374238566,8.485281374238566,7,3,0.91666666666666663,0.75,1,0,8.4999999999999929,3,3.999999999999996,0,4.0082211533052393e-16,5.900700919807066e-16,1,1,681.12592399999994,4.2998649999999996
0,1,3,fraction,coarse,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.8272310589212843e-14,4.5597857600389585e-15,4.5597762489475515e-15,8.3089129106440967e-16,0,3.6044828737838008,3.6044828737838026,4.2811750887122884,4.2811750887122892,4.2811750887122892,4.2811750887122892,10,3,0.083333333333333329,0.75,1,0,4.289910260637499,7,8.3736389961776165,0,3.5802859850193611e-16,0,6,2.2360679774997898,681.12592399999994,42.925119000000002
0,1,3,fraction,trial,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.8272310589212843e-14,4.5597857600389585e-15,4.5597762489475515e-15,8.3089129106440967e-16,0,41.280215845983747,41.28021958988375,65.184686714884847,65.184687745353685,65.184687745353685,65.184687745353685,1,3,0.58333333333333337,0.75,0,0,65.186605345584354,13,1470941211.7786086,1.9216889850782377e-16,1.8828744993840698e-15,5.1077153128935608e-12,1,1,681.12592399999994,54.528561000000003
0,1,3,fraction,trial,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.8272310589212843e-14,4.5597857600389585e-15,4.5597762489475515e-15,8.3089129106440967e-16,0,2.7801298944401998,2.7801298944402228,3.3868865572381304,3.3868865572384435,3.3868865572384435,3.3868865572384435,8,3,0.25,0.083333333333333329,1,0,3.3992266416804933,13,14879402.283798439,4.2634383072212889e-16,5.228818661197277e-16,0,6,2.2360679774997898,681.12592399999994,93.381957
0,1,3,fraction,test,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.8272310589212843e-14,4.5597857600389585e-15,4.5597762489475515e-15,8.3089129106440967e-16,0,41.280215845983747,41.28021958988375,65.184686714884847,65.184687745353685,65.184687745353685,65.184687745353685,1,3,0.58333333333333337,0.75,0,0,65.186605345584354,13,1470941211.7786086,1.9216889850782377e-16,1.8828744993840698e-15,5.1077153128935608e-12,1,1,681.12592399999994,105.52216900000001
0,1,3,fraction,test,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.8272310589212843e-14,4.5597857600389585e-15,4.5597762489475515e-15,8.3089129106440967e-16,0,2.7801298944401998,2.7801298944402228,3.3868865572381304,3.3868865572384435,3.3868865572384435,3.3868865572384435,8,3,0.25,0.083333333333333329,1,0,3.3992266416804933,13,14879402.283798439,4.2634383072212889e-16,5.228818661197277e-16,0,6,2.2360679774997898,681.12592399999994,142.87461400000001
1,1,3,fraction,coarse,element,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,1.5140918602769285e-14,4.0679823446954017e-15,4.0682725590259205e-15,6.47478143840299e-16,0,8.4852813742385624,8.4852813742385713,8.4852813742385713,8.4852813742385766,8.4852813742385766,12,3,3,0.25,0.91666666666666663,1,0,8.5000000000000053,3,4.0000000000000071,5.5511151231257839e-17,1.2471989368228061e-16,3.9338006132047006e-16,1,1,1188.922828,5.8497279999999998
1,1,3,fraction,coarse,patch1,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,1.5140918602769285e-14,4.0679823446954017e-15,4.0682725590259205e-15,6.47478143840299e-16,0,3.1615770311083358,3.6706955245748776,4.4140684523883582,4.8623641932093244,4.8623641932093244,6.8764213872339388,13,4,0.16666666666666666,0.083333333333333329,1,0,4.8670176822240148,9,9.2749172176353554,0,4.5575064409956886e-16,0,8,2,1188.922828,32.748161000000003
1,1,3,fraction,trial,element,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,1.5140918602769285e-14,4.0679823446954017e-15,4.0682725590259205e-15,6.47478143840299e-16,0,42.607880200003521,71.388906533494932,93.522219529850631,100.11894837054737,100.11894837054737,132.2603912423487,9,3,0.75,0.58333333333333337,0,0,100.12019687769781,15,42964207459.695328,1.885252179775956e-16,1.7784874156858872e-15,4.6291071960105647e-13,1,1,1188.922828,48.572820999999998
1,1,3,fraction,trial,patch1,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,1.5140918602769285e-14,4.0679823446954017e-15,4.0682725590259205e-15,6.47478143840299e-16,0,2.4508576428538866,2.9192788963982683,3.3888930260566212,3.9356148172230925,3.9356148172230925,5.5657998507934066,18,4,0.083333333333333329,0.16666666666666666,1,0,3.9420132039737417,17,379564311.35658836,2.3797321121572228e-16,1.3860882900966857e-15,0,8,2,1188.922828,102.82135100000001
