k,H_level,h_level,ell,mode,source,coarse_nodes,coarse_elements,fine_nodes,fine_elements,H,h,kH,kh,source_l2,fem_energy_rel,fem_l2_rel,lod_energy_rel,lod_l2_rel,exact_energy_norm,exact_l2_norm,fem_exact_energy_rel,fem_exact_l2_rel,lod_exact_energy_rel,lod_exact_l2_rel,fine_exact_energy_rel,fine_exact_l2_rel,lod_energy_over_Hf,inf_sup,petrov_residual,corrector_residual,constraint_residual,corrector_threads,symbolic_analyses,symbolic_reuses,mesh_interp_ms,operators_ms,correctors_ms,basis_factor_ms,build_total_ms,load_ms,lod_solve_ms,coarse_fem_ms,reference_ms,total_ms
4,5,11,2,two-sided,manufactured,41,64,2113,4096,0.25,0.03125,1,0.125,18.390692626875417,0.38484580668997292,0.19768710781411292,0.16452689757912642,0.055122056538717726,3.0408390189820929,0.4063492063344562,0.38794284982213856,0.20024743208137799,0.17186109846385095,0.056747555968489655,0.050017505430309452,0.0036597986382104486,0.10852473863065802,0.31859627802544449,1.1522877413718923e-14,1.6565037163794287e-15,4.5573480407700526e-16,8,59,5,8.9672160000000005,1.9287339999999999,99.604873999999995,11.721256,122.30114499999999,0.90094099999999999,0.43064599999999997,0.183231,10.548568,162.001623
8,7,13,3,two-sided,manufactured,145,256,8321,16384,0.125,0.015625,1,0.125,26.805164850215075,0.26539665914807675,0.15896706357755597,0.05341271646762856,0.013312057682042359,5.0098094754259126,0.40634920634897209,0.26792188028017938,0.1613543142076839,0.061448327436511407,0.014496288187517727,0.030197803468839827,0.0028494118612659644,0.079705923039275012,0.17432904454785558,2.0728947379195811e-14,2.2255032145764781e-15,4.0823102485612789e-16,8,211,45,38.305940999999997,8.8315509999999993,1543.1428309999999,172.45501899999999,1763.1367380000002,2.4845259999999998,3.3190659999999998,0.53920100000000004,49.239840999999998,2444.5253299999999
16,9,15,4,two-sided,manufactured,545,1024,33025,65536,0.0625,0.0078125,1,0.125,47.311412828932639,0.27768481410995083,0.2245411561965894,0.019471879081975774,0.0043016130461772063,9.407664276553227,0.40634920634920685,0.28119074613310324,0.22815337286754037,0.030787541082350135,0.0065892907719902411,0.023710837106643297,0.0040917995945719569,0.06183201399279753,nan,1.0706274083662434e-13,2.0128532980320525e-15,5.5206041045828546e-16,8,927,97,177.61179899999999,41.220365999999999,21878.603256999999,1923.333406,24022.735849999997,10.901379,20.200706,7.9147449999999999,494.79252600000001,24647.049307000001
32,11,17,5,two-sided,manufactured,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.20002597581896,0.43086009168286282,0.40532854690672537,0.0083858837963248258,0.0017623566722805492,18.496701646003558,0.40634920634918487,0.43716688126793818,0.4118381316862843,0.02431543012593957,0.0080174633376949994,0.022716089819741769,0.0074817862507801482,0.054320967853859564,nan,1.9530183145676015e-13,2.6288208504061066e-15,6.6196109267233585e-16,8,3922,174,1670.9042300000001,473.62275299999999,294371.53447000001,38670.049425999998,335201.64954000001,57.844048000000001,163.706412,118.195322,4933.6422860000002,341075.229077
