iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
2,AcceptLocalization,2,0.08872683734165808,384,0.19888135000000001,7.6913579219999999
5,AcceptLocalization,2,0.10690223086820624,438,0.221520994,10.068483462
8,AcceptLocalization,2,0.11650694167392968,510,0.22531461699999999,13.955875775000001
