schema_version,case,kappa,coarse_level,reference_level,ell,Theta_loc,direct_delta,theorem_lower,theorem_upper,bracket_holds
5,R1,16,3,5,1,2.5041408363547952,4.5577970970557358,0.039127200568043675,160.26501352670689,true
5,R1,16,3,5,2,1.4185063770142508,3.0962180969554498,0.022164162140847668,90.784408128912048,true
5,R1,16,3,5,3,4.6110488849826678e-08,0,7.2047638827854184e-10,2.9510712863889074e-06,true
5,R1,16,3,5,4,5.3442702640953016e-08,0,8.3504222876489087e-10,3.420332969020993e-06,true
