k,H_level,h_level,ell,mode,source,coarse_nodes,coarse_elements,fine_nodes,fine_elements,H,h,kH,kh,source_l2,fem_energy_rel,fem_l2_rel,lod_energy_rel,lod_l2_rel,exact_energy_norm,exact_l2_norm,fem_exact_energy_rel,fem_exact_l2_rel,lod_exact_energy_rel,lod_exact_l2_rel,fine_exact_energy_rel,fine_exact_l2_rel,lod_energy_over_Hf,inf_sup,petrov_residual,corrector_residual,constraint_residual,corrector_threads,symbolic_analyses,symbolic_reuses,mesh_interp_ms,operators_ms,correctors_ms,basis_factor_ms,build_total_ms,load_ms,lod_solve_ms,coarse_fem_ms,reference_ms,total_ms
4,5,13,2,two-sided,manufactured,41,64,8321,16384,0.25,0.015625,1,0.0625,18.443347665219402,0.38717073000117214,0.19960693952036784,0.16658679629923565,0.056250555760873615,3.0408390190907362,0.40634920634897209,0.3879428499005963,0.20024743202990142,0.16842835734618891,0.056642725380357084,0.025014987665823617,0.00091671274432405332,0.10979006376506938,0.31844813387204174,1.9452892632412267e-14,5.1208166791433831e-15,8.7731731133968443e-16,8,61,3,44.927258999999999,7.2425189999999997,1608.082924,41.755555000000001,1702.268865,2.2781500000000001,1.120422,0.21015600000000001,48.550108999999999,1834.422636
8,7,15,3,two-sided,manufactured,145,256,33025,65536,0.125,0.0078125,1,0.0625,26.84324817391218,0.26729153799681932,0.16075729800219019,0.054352158217730914,0.013675467954142878,5.0098094754287015,0.40634920634920685,0.26792188027810893,0.16135431417487481,0.056428375093199791,0.013927514299560085,0.015070415772943086,0.00071344403388102552,0.081111228637027799,0.17419625990961429,5.3738027792486625e-14,5.7049063103893562e-15,7.8835818674733577e-16,8,217,39,196.570301,35.439999,26455.267531000001,761.39429099999995,27450.051224999999,9.9310740000000006,9.3345640000000003,0.99721400000000004,470.04362700000001,29296.7559
16,9,17,4,two-sided,manufactured,545,1024,131585,262144,0.0625,0.00390625,1,0.0625,47.347971626386332,0.28031454865647343,0.22725010153540451,0.019857467258884716,0.0044268854847000607,9.4076642765530778,0.40634920634918487,0.28119074613105388,0.22815337285975074,0.023105572417169793,0.0047729917549503365,0.011740687014881785,0.0010247121645513694,0.063098094635985216,nan,1.362775076857405e-13,9.4248287287873575e-15,1.1005932676618735e-15,8,933,91,925.20418500000005,240.92669900000001,381407.56416100002,17170.794634000002,399750.183425,76.189606999999995,81.125947999999994,19.055733,4284.9582950000004,404608.50472999999
