schema_version,case,method,kappa,run_id,reference_epoch,H_step,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,0,0,InitializeReferenceEpoch,initialized manufactured-exact-only conforming P1 AFEM trajectory,113,104,0,,,4,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,4.87e-06,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,0,1,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.6257611708634167e-15,113,104,0,,,4,,,35.816106712891873,,,,,4.6264441499157485,0.1749760787808817,1.0880210744969083,1.1020374466078282,,,,6,0,0,0,0,0,0.006315658,0.0058037280000000002,0.012153295999999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,1,2,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,118,109,0,,,4,,,0,,,,,,,,,,,,6,0,0,0.000319819,0,0,0,0,0.012476194999999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,1,3,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.9084723750784662e-15,118,109,0,,,4,,,30.189013535514295,,,,,5.1838361735945631,0.20577437654668093,1.2189295030452476,1.2960196623074642,,,,8,0,0,0,0,0,0.004302752,0.0042135819999999996,0.021002728999999998,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,2,4,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,126,117,0,,,4,,,0,,,,,,,,,,,,8,0,0,0.00042959999999999998,0,0,0,0,0.021435199000000002,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,2,5,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.7951817717721933e-15,126,117,0,,,4,,,25.363607986015303,,,,,5.0640263872103253,0.20128548019488354,1.1907498542572263,1.2677478081612044,,,,13,0,0,0,0,0,0.0046874999999999998,0.0045939209999999999,0.030728270000000002,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,3,6,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,143,134,0,,,4,,,0,,,,,,,,,,,,13,0,0,0.00050530900000000001,0,0,0,0,0.031236698999999993,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,3,7,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.8315889283608604e-15,143,134,0,,,4,,,21.271439537709181,,,,,5.286229295957062,0.21494023600838094,1.2429918603306946,1.3537493480621026,,,,22,0,0,0,0,0,0.0046817999999999999,0.0045314409999999998,0.040461289999999997,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,4,8,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,171,162,0,,,4,,,0,,,,,,,,,,,,22,0,0,0.00061747899999999999,0,0,0,0,0.041082369000000007,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,4,9,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.8106495810340607e-15,171,162,0,,,4,,,18.938111358715531,,,,,5.7639729172054537,0.2399069947906898,1.3553491024164865,1.5109957429923255,,,,49,0,0,0,0,0,0.0050651100000000003,0.0048178709999999996,0.050977540000000002,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,5,10,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,214,202,0,,,4,,,0,,,,,,,,,,,,49,0,0,0.00078302899999999997,0,0,0,0,0.051764989000000011,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,5,11,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.9371040899879904e-15,214,202,0,,,4,,,13.856827998188214,,,,,3.6704954122222664,0.14044853258470352,0.86309427104793646,0.8845806994421257,,,,58,0,0,0,0,0,0.0062587169999999996,0.0058671690000000002,0.063904144999999996,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,6,12,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,267,254,0,,,4,,,0,,,,,,,,,,,,58,0,0,0.00098179800000000009,0,0,0,0,0.064891363000000021,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,6,13,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.5463500793981106e-15,267,254,0,,,4,,,10.664415517193742,,,,,2.7171226999089981,0.096383651361696646,0.63891441498589763,0.60704883307720914,,,,89,0,0,0,0,0,0.0076814650000000002,0.007094136,0.079682403999999998,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,7,14,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,339,326,0,,,4,,,0,,,,,,,,,,,,89,0,0,0.0012904870000000001,0,0,0,0,0.080979630999999996,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,7,15,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.8549849123271247e-15,339,326,0,,,4,,,8.4566051405705966,,,,,2.0627555468216294,0.067257115853450233,0.48504420058740083,0.42360247962782926,,,,127,0,0,0,0,0,0.0098800309999999992,0.0090044719999999995,0.099881144000000005,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,8,16,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,459,446,0,,,4,,,0,,,,,,,,,,,,127,0,0,0.0018110559999999999,0,0,0,0,0.10170066,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,8,17,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.5981616852405147e-15,459,446,0,,,4,,,6.8611390144082609,,,,,1.6827202521563704,0.053727892668713272,0.39568125230771162,0.33839197960285905,,,,194,0,0,0,0,0,0.013999723,0.012605755,0.12833011799999999,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,9,18,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,625,611,0,,,4,,,0,,,,,,,,,,,,194,0,0,0.0025011149999999999,0,0,0,0,0.13084227300000001,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,9,19,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.8270459109486478e-15,625,611,0,,,4,,,5.5966325494600717,,,,,1.2920528921128516,0.037611677502374173,0.30381827130354067,0.23688794355547274,,,,276,0,0,0,0,0,0.019334001999999999,0.017462525,0.16767098000000003,1055.18359375
4,S,AFEM,16,S_AFEM_k16_r0_4e46685d11b0a31a,0,10,20,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,832,815,0,,,4,,,0,,,,,,,,,,,,276,0,0,0.0033028839999999999,0,0,0,0,0.17098880399999999,1055.18359375
