k,H_level,h_level,ell,mode,source,solver,coarse_nodes,coarse_elements,fine_nodes,fine_elements,H,h,kH,kh,source_l2,fem_energy_rel,fem_l2_rel,lod_energy_rel,lod_l2_rel,exact_energy_norm,exact_l2_norm,fem_exact_energy_rel,fem_exact_l2_rel,lod_exact_energy_rel,lod_exact_l2_rel,fine_exact_energy_rel,fine_exact_l2_rel,lod_energy_over_Hf,inf_sup,petrov_residual,corrector_residual,constraint_residual,corrector_threads,symbolic_analyses,symbolic_reuses,factorization_reuses,schur_residual,schur_rcond,direct_fallbacks,mesh_interp_ms,operators_ms,correctors_ms,basis_factor_ms,build_total_ms,load_ms,lod_solve_ms,coarse_fem_ms,reference_ms,total_ms
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,32,4086,10,0,0,1,0,832.56401000000005,223.743988,20698.571695999999,9108.5333969999992,30866.229320999999,61.939805999999997,75.545790999999994,12.873923,3688.5181170000001,35195.201777000002
64,13,19,6,two-sided,manufactured,saddle,8321,16384,525313,1048576,0.015625,0.001953125,1,0.125,180.64789046560418,0.78202138970846979,0.77079894602196475,0.0039896487825943202,0.00082406052496228474,36.832367156421078,0.40634920634922489,0.79300156701634594,0.78210193195373756,0.0259464663480686,0.0148008949836807,0.025550651219813977,0.014623775659882546,0.051963014316413501,nan,6.0574938766619047e-13,2.418378277388289e-15,7.0929158852360091e-16,32,16337,47,0,0,1,0,5091.7387280000003,1404.2572789999999,177994.56021900001,75993.542742000005,260570.608477,279.540209,446.29681399999998,66.962138999999993,42710.987520000002,306123.59693
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,16,4071,25,0,0,1,0,820.71883400000002,225.82282499999999,38628.862077999998,9166.3927430000003,48844.595378999999,61.812547000000002,77.898432999999997,12.195262,3713.3437650000001,53198.095365000001
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,32,4084,12,0,0,1,0,815.03985299999999,222.27326500000001,20691.760563,9169.1737200000007,30901.075879999997,61.756016000000002,75.544961999999998,12.420361,3633.2976779999999,35171.333697000002
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,32,3990,106,106,0,1,0,827.27298699999994,223.055837,20757.537475000001,8618.7787989999997,30429.472017,62.302892999999997,75.812499000000003,13.299377,3666.6736169999999,34737.242093000001
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,32,3980,116,0,0,1,0,824.41014399999995,223.44820799999999,20995.691521000001,8792.2218269999994,30838.593988000001,61.935045000000002,80.352002999999996,12.796118999999999,3694.1664350000001,35175.403621999998
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,32,3990,106,106,0,1,0,825.120409,224.189592,20611.014329000001,8625.1118869999991,30288.245705999998,61.984943999999999,76.146097999999995,13.833785000000001,3638.636794,34567.845934999998
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,64,4056,40,0,0,1,0,827.94683399999997,226.231718,13664.502289,8708.9529559999992,23430.467285999999,62.085763999999998,75.553951999999995,13.479417,3682.7089390000001,27753.642326000001
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,8,3923,173,0,0,1,0,818.27804500000002,221.37986799999999,74368.508050999997,9177.2498350000005,84588.246008000002,61.878526999999998,79.968277,11.693224000000001,3737.030726,88972.199489000006
32,11,19,5,two-sided,manufactured,saddle,2113,4096,525313,1048576,0.03125,0.001953125,1,0.0625,91.251448563267388,0.43559137594147973,0.41021152636549268,0.0085586870756004692,0.0018144101547704545,18.496701646005086,0.40634920634922489,0.43716688126694353,0.41183813168358901,0.013908440265236041,0.0028571248114634905,0.010904651861596499,0.0018738290955823752,0.055488478982004326,nan,3.2856889950324977e-13,6.06636734235171e-15,1.3243221150926156e-15,32,4085,11,0,0,1,0,4214.8335360000001,1409.50028,360974.57586600003,36500.529298000001,403147.92668599996,291.36386900000002,286.59849400000002,17.026848000000001,41859.065486,447640.21908000001
64,13,21,6,two-sided,manufactured,saddle,8321,16384,2099201,4194304,0.015625,0.0009765625,1,0.0625,180.73956766747295,0.79026828039284758,0.77928740030245436,0.004073053694796264,0.00084852833239130023,36.83236715639736,0.40634920634891486,0.79300156701646818,0.7821019319533532,0.011887159471656365,0.0039143431511597104,0.011115088212660934,0.0036626663207100069,0.053096779970009451,nan,1.0018100531373482e-12,8.239522122450007e-15,1.730508004911019e-15,32,16328,56,0,0,1,0,23023.113807999998,6735.1568120000002,3470113.1325940001,273081.707711,3773284.9842790002,1322.354763,1842.126829,98.689546000000007,403792.57617100002,4189157.7682030001
