schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,15,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.8549849123271247e-15,339,326,788481,,,4,,,8.4566051405705966,,,0.48445854919852233,0.42318940430580226,2.0627518542850405,0.067257115517880398,0.48504355768946444,0.42360247786560268,0.75873611252934103,0.2761012398674107,1.1564379652845891,127,0,0,0,0,0,0.018798558,0.0090263419999999997,98.455864547000004,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,16,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,459,446,788481,,,4,,,0,,,,,,,,,,,,127,0,0,13.573903735,0,0,0,0,112.02978698200002,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,17,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.5981616852405147e-15,459,446,788481,,,4,,,6.8611390144082609,,,0.39496802948112036,0.33796811933207549,1.6827162577788926,0.053727892610099595,0.39568049766115543,0.33839197927072279,0.81527724123053846,0.20422705029808533,0.67390523379452871,194,0,0,0,0,0,0.023288828000000001,0.012634684,112.066193231,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,18,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,625,611,788481,,,4,,,0,,,,,,,,,,,,194,0,0,14.216779902000001,0,0,0,0,126.282993103,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,19,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=2.8270459109486478e-15,625,611,788481,,,4,,,5.5966325494600717,,,0.30291349611720636,0.23642345978370932,1.2920488501990151,0.037611677438867307,0.30381743189673649,0.23688794318796388,0.76693168435721648,0.26535755021638635,0.85959284963172811,276,0,0,0,0,0,0.028513295000000001,0.017499300999999998,126.32950340599999,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,20,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,832,815,788481,,,4,,,0,,,,,,,,,,,,276,0,0,14.173620680000001,0,0,0,0,140.50314617500001,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,21,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.1504487021565749e-15,832,815,788481,,,4,,,4.6049549711825382,,,0.23760641961020243,0.17038272587312792,1.015269009827491,0.027134524374307061,0.23873433516280682,0.17090015936834668,0.78440354311009419,0.24283166770164374,0.84882199458703833,388,0,0,0,0,0,0.035749432999999997,0.02400387,140.563403346,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,22,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,1131,1111,788481,,,4,,,0,,,,,,,,,,,,388,0,0,14.218464795999999,0,0,0,0,154.78189424200005,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,23,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=3.524394519936817e-15,1131,1111,788481,,,4,,,3.8136163062968178,,,0.18175655669904306,0.10969123726190969,0.77891733787407658,0.017503415815028497,0.18315767644256903,0.11024097975755288,0.7649480051810803,0.26794741454902327,0.87272171238950358,554,0,0,0,0,0,0.045679657999999998,0.032998220000000002,154.86109684800002,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,24,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,1531,1508,788481,,,4,,,0,,,,,,,,,,,,554,0,0,14.260813534,0,0,0,0,169.12194474200004,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,25,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=4.2526221189582024e-15,1531,1508,788481,,,4,,,3.210027326183027,,,0.15004024824719112,0.081692073823165026,0.64507717084084237,0.013058205498183002,0.15168597486843416,0.082243910743362195,0.82550115919961786,0.19176461138354858,0.63326496136324806,789,0,0,0,0,0,0.059861246999999999,0.045735504000000003,169.228104949,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,26,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,2080,2053,788481,,,4,,,0,,,,,,,,,,,,789,0,0,14.248647216,0,0,0,0,183.47679642399999,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,27,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=4.8303320922043244e-15,2080,2053,788481,,,4,,,2.7037770425360064,,,0.12327812426962172,0.063257575776768799,0.53261958243907637,0.010133036331031325,0.12524225666051805,0.063820448811634067,0.82163369968917388,0.19646060406050986,0.64109208770158999,1128,0,0,0,0,0,0.079332742999999997,0.063243698000000001,183.61997725200001,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,28,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,2824,2795,788481,,,4,,,0,,,,,,,,,,,,1128,0,0,14.127431631,0,0,0,0,197.74747132199997,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,29,SolveAdaptiveFem,solved conforming P1 FEM and formed body/jump/impedance residual marking; algebraic residual difference=6.1713692696656469e-15,2824,2795,788481,,,4,,,2.2608428322272807,,,0.098955576467270476,0.042214788981120563,0.430927123489798,0.0067930236105783852,0.10132989319494544,0.042784196311177636,0.80270183419439955,0.2197719488161968,0.71871061037646278,1626,0,0,0,0,0,0.107041416,0.086936097000000004,197.94212458199996,3494.94921875
4,S,AFEM,16,S_AFEM_k16_r0_46c51777d7df2473,0,30,RefineAdaptiveFem,locally refined the conforming P1 mesh by residual Doerfler marking,3895,3861,788481,,,4,,,0,,,,,,,,,,,,1626,0,0,14.266288830000001,0,0,0,0,212.20849779999992,3494.94921875
