schema_version,case,method,kappa,run_id,reference_epoch,H_step,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,0,0,InitializeReferenceEpoch,initialized fixed reference epoch and ambient shadow,113,104,3201,3201,2,4,,0.17677669529663689,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0.067987727999999997,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,0,1,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,113,104,3201,3201,2,4,,0.17677669529663689,0,0,0,,,,,,,,,,0,0,0,0.00010132900000000001,0,0,0,0,0.068146136999999996,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,0,2,IncreaseGlobalEll,localization threshold failed; increased global ell,113,104,3201,3201,3,4,,0.17677669529663689,0,0.47587428341822868,0,,,,,,,,,,0,192,0,0,0.096324684999999993,0.42435526099999998,0,0,0.58893800200000002,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,0,3,AcceptLocalization,reference localization certificate accepted,113,104,3201,3201,3,4,,0.17677669529663689,0,0.15559490555820779,0,,,,,,,,,,0,192,0,0,0.138207688,0.44154010599999999,0,0,1.1687621349999999,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,0,4,FormCoarseMarking,formed reference-residual coarse marking,113,104,3201,3201,3,4,,0.17677669529663689,8.6130845222150736,0.15559490555820779,4.3118868206038607,0.81129856721476257,0.6955838417062532,3.6258490676407118,0.11828058054229407,0.85259625657919846,0.74496128198475486,,,,33,0,0,0,0,0,0.00058078800000000005,0.42566557799999999,1.595079151,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,1,5,RefineCoarse,coarse mesh refined while preserving the reference epoch,134,123,3201,3201,3,4,,0.25,8.6130845222150736,0.15559490555820779,4.3118868206038607,,,,,,,,,,33,0,0,0.021057551000000001,0,0,0,0,1.616208782,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,1,6,AcceptLocalization,reference localization certificate accepted,134,123,3201,3201,3,4,,0.25,8.6130845222150736,0.091731597088628256,4.3118868206038607,,,,,,,,,,0,232,0,0,0.14604229299999999,0.46753857199999999,0,0,2.2298622469999998,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,1,7,FormCoarseMarking,formed reference-residual coarse marking,134,123,3201,3201,3,4,,0.25,8.2127845771902326,0.091731597088628256,4.0802408576351912,0.60861436045542572,0.42648437842212611,2.8456182307992703,0.076490047634649769,0.66912974201974973,0.48175384060283949,0.75017309909080199,0.2874513002939878,1.6864063310103765,43,0,0,0,0,0,0.00063976699999999996,0.42973344600000002,2.6603081999999998,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,2,8,RefineCoarse,coarse mesh refined while preserving the reference epoch,166,155,3201,3649,3,4,,0.25,8.2127845771902326,0.091731597088628256,4.0802408576351912,,,,,,,,,,43,0,896,0.043878596999999998,0,0,0,0,2.7042604560000001,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,2,9,AcceptLocalization,reference localization certificate accepted,166,155,3201,3649,3,4,,0.25,8.2127845771902326,0.084661838746289367,4.0802408576351912,,,,,,,,,,0,296,0,0,0.15267589200000001,0.58295193700000003,0,0,3.4399696739999999,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,2,10,FormCoarseMarking,formed reference-residual coarse marking,166,155,3201,3649,3,4,,0.25,7.1171928102306738,0.084661838746289367,3.5329358956471668,0.47471056274236056,0.28368719951296928,2.3795997628628567,0.05594360592757941,0.55954834636670514,0.35234710718854895,0.77998580642614967,0.24847955635361674,1.1603170228382214,59,0,0,0,0,0,0.00069499799999999995,0.42049583800000001,3.8612426600000003,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,3,11,RefineCoarse,coarse mesh refined while preserving the reference epoch,206,195,3201,4273,3,4,,0.25,7.1171928102306738,0.084661838746289367,3.5329358956471668,,,,,,,,,,59,0,1248,0.067318340000000004,0,0,0,0,3.9286481599999998,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,3,12,AcceptLocalization,reference localization certificate accepted,206,195,3201,4273,3,4,,0.25,7.1171928102306738,0.082229182763302017,3.5329358956471668,,,,,,,,,,0,376,0,0,0.15644294,0.74726984299999999,0,0,4.8324556730000001,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,0,3,13,CompleteReferenceEpoch,completed scheduled reference epoch on inherited coarse mesh,206,195,3201,4273,3,4,,0.25,5.5353451642448386,0.082229182763302017,2.746913074326363,0.3774095141094263,0.21135098274341096,2.0575664913297795,0.04484039342150839,0.48382418998815263,0.28241624123617759,0.79503079082370787,0.22937443448195635,1.062467716057101,0,0,0,0,0,0,0.00074677700000000001,0.42328776099999998,5.2565855200000007,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,1,3,14,RefreshReferenceEpoch,promoted ambient mesh to reference; inherited coarse mesh and ell,206,195,4273,4273,3,4,,0.25,5.5353451642448386,0.082229182763302017,2.746913074326363,,,,,,,,,,0,0,0,0.083001438999999996,0,0,0,0,5.3396842390000003,2317.58984375
4,S,PALOD,16,S_PALOD_k16_r0_337d3f57b4ddd7bf,1,3,15,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,206,195,4273,4273,3,4,,0.25,5.5353451642448386,0.082229182763302017,2.746913074326363,,,,,,,,,,0,0,0,0.000145079,0,0,0,0,5.3399092380000006,2317.58984375
